# Constructed from biom file
#OTU ID	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
AB547677	15.0	18.0	125861.0	66138.0	0.0	0.0
AJ867043	48246.0	47678.0	0.0	0.0	9007.0	17304.0
AF542227	1759.0	3779.0	17228.0	17262.0	18950.0	4348.0
HG324078	26318.0	27040.0	0.0	0.0	0.0	0.0
KF830695	8845.0	6469.0	7561.0	5070.0	2027.0	2316.0
DQ518919	0.0	0.0	10748.0	12749.0	4780.0	8730.0
AB272346	0.0	0.0	0.0	19.0	19887.0	10284.0
DQ986463	2477.0	6292.0	961.0	833.0	8011.0	6857.0
AB510710	836.0	1147.0	130.0	97.0	7295.0	15152.0
AJ510251	599.0	731.0	6108.0	8491.0	3194.0	2853.0
EU483154	2315.0	4244.0	1697.0	2285.0	4239.0	9040.0
AZJF01000008	291.0	352.0	48.0	0.0	13794.0	6155.0
AB510697	5233.0	5579.0	2872.0	1653.0	5208.0	9060.0
AJ576075	0.0	0.0	13566.0	4160.0	82.0	9.0
AB542764	0.0	0.0	0.0	0.0	9503.0	7356.0
X84247	765.0	2374.0	5769.0	4482.0	1016.0	150.0
DQ911241	2889.0	5650.0	7638.0	6245.0	5398.0	659.0
AB242142	0.0	0.0	8673.0	5534.0	49.0	27.0
KF444244	2799.0	10793.0	55.0	15.0	0.0	0.0
JN837491	0.0	0.0	5677.0	7943.0	199.0	22.0
JX104001	1075.0	2298.0	4623.0	3864.0	7556.0	1527.0
EF036467	4460.0	5187.0	2065.0	1508.0	83.0	61.0
JGEI01000020	0.0	0.0	0.0	0.0	6241.0	5371.0
AY319392	4688.0	5418.0	842.0	530.0	63.0	62.0
AB109770	1134.0	2384.0	3710.0	3799.0	0.0	0.0
AF542231	539.0	510.0	0.0	0.0	5726.0	3789.0
JN038565	3325.0	4510.0	461.0	307.0	787.0	945.0
JX101687	4333.0	7456.0	0.0	0.0	0.0	0.0
FR798912	1590.0	2887.0	3084.0	2449.0	1688.0	3158.0
AB547676	0.0	0.0	634.0	844.0	9067.0	985.0
AGXG01000059	5286.0	3846.0	0.0	0.0	0.0	0.0
AB109771	2770.0	5522.0	422.0	488.0	2751.0	1872.0
AB698910	2249.0	3002.0	2721.0	1985.0	77.0	29.0
DQ789120	3734.0	4758.0	0.0	0.0	0.0	0.0
KF148833	2972.0	4807.0	292.0	185.0	97.0	32.0
ARKX01000002	0.0	0.0	2669.0	2327.0	1549.0	976.0
AB547667	0.0	0.0	138.0	200.0	2352.0	4604.0
FJ200390	128.0	136.0	3164.0	2514.0	747.0	300.0
JNHQ01000182	744.0	1200.0	3134.0	1874.0	0.0	0.0
AB547649	0.0	0.0	0.0	0.0	2867.0	4003.0
EF101967	0.0	0.0	0.0	0.0	0.0	5943.0
JYFK01000107	2069.0	1904.0	2087.0	1373.0	9.0	0.0
AZJE01000037	0.0	0.0	3112.0	2328.0	0.0	0.0
AGXT01000001	496.0	446.0	1078.0	719.0	1225.0	1433.0
JQ904752	0.0	0.0	0.0	0.0	3512.0	1791.0
M23731	2157.0	2988.0	0.0	0.0	0.0	0.0
JN787181	0.0	0.0	2849.0	2114.0	0.0	0.0
AJ132842	0.0	0.0	2849.0	1968.0	134.0	46.0
EF025909	1360.0	1632.0	127.0	52.0	543.0	1083.0
AJ438042	1705.0	5692.0	2220.0	1976.0	668.0	107.0
HE586272	564.0	344.0	2518.0	2132.0	80.0	12.0
AB649278	0.0	48.0	0.0	0.0	1471.0	3238.0
JNHN01000179	2734.0	2001.0	0.0	0.0	0.0	0.0
AY974072	955.0	1138.0	337.0	204.0	2341.0	2435.0
AJ439348	119.0	483.0	1911.0	1407.0	117.0	0.0
AB558167	0.0	0.0	426.0	167.0	1490.0	1626.0
CDRG01001675	1368.0	1820.0	0.0	0.0	322.0	406.0
FP929050	1270.0	2108.0	0.0	0.0	15.0	0.0
HM007585	0.0	0.0	1870.0	1431.0	0.0	0.0
EU156761	0.0	0.0	1746.0	1528.0	0.0	0.0
AB538433	577.0	1516.0	1546.0	1126.0	0.0	0.0
ACEP01000116	1087.0	1219.0	658.0	490.0	90.0	69.0
EU414673	0.0	0.0	1052.0	2259.0	0.0	0.0
AJ867050	0.0	0.0	0.0	0.0	1063.0	1994.0
EF031542	0.0	0.0	1830.0	1132.0	0.0	0.0
GU811876	75.0	101.0	104.0	51.0	481.0	2012.0
EU136679	1249.0	1467.0	0.0	0.0	0.0	0.0
AB554232	0.0	0.0	1529.0	1097.0	564.0	478.0
AY271254	1123.0	1211.0	0.0	0.0	667.0	766.0
AB238928	878.0	999.0	1148.0	769.0	1036.0	1142.0
DQ497994	0.0	0.0	1244.0	820.0	0.0	0.0
AGZO01000011	0.0	0.0	0.0	0.0	739.0	1296.0
