	faith_pd
Patient1-fresh	18.247727384211544
Patient1-frozen	17.41578691325343
Patient2-fresh	18.641086051527335
Patient2-frozen	18.81366407277812
Patient3-fresh	20.574322658534356
Patient3-frozen	15.40361781259092
