	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
Patient1-fresh	0.0	0.18471337579617833	0.7692307692307693	0.7354085603112841	0.7393162393162394	0.7813953488372093
Patient1-frozen	0.18471337579617833	0.0	0.7714285714285715	0.7372549019607844	0.7359307359307359	0.7783018867924528
Patient2-fresh	0.7692307692307693	0.7714285714285715	0.0	0.2602040816326531	0.7041666666666667	0.7477477477477478
Patient2-frozen	0.7354085603112841	0.7372549019607844	0.2602040816326531	0.0	0.7181467181467182	0.7745901639344263
Patient3-fresh	0.7393162393162394	0.7359307359307359	0.7041666666666667	0.7181467181467182	0.0	0.32919254658385094
Patient3-frozen	0.7813953488372093	0.7783018867924528	0.7477477477477478	0.7745901639344263	0.32919254658385094	0.0
