	shannon_entropy
Patient1-fresh	5.338784122368588
Patient1-frozen	5.391475967978252
Patient2-fresh	4.6161564995988424
Patient2-frozen	4.786672993777993
Patient3-fresh	4.7251339380385025
Patient3-frozen	4.555671531028814
