"Feature","v2.fresh.N","v2.frozen.N","v2.fresh.mean","v2.frozen.mean","v2.tt.log.Pval.fresh.vs.frozen","v3.fresh.N","v3.frozen.N","v3.fresh.mean","v3.frozen.mean","v3.tt.log.Pval.fresh.vs.frozen","v4.fresh.N","v4.frozen.N","v4.fresh.mean","v4.frozen.mean","v4.tt.log.Pval.fresh.vs.frozen","v67.fresh.N","v67.frozen.N","v67.fresh.mean","v67.frozen.mean","v67.tt.log.Pval.fresh.vs.frozen","glm.std.Type.Coef","glm.std.Type.Pval","glm.std.Type.adjPval","glm.log.Type.Coef","glm.log.Type.Pval","glm.log.Type.adjPval"
"evenness","3","3","0.719418673020992","0.768626229328303","0.0979296941464364","3","3","0.714998421855846","0.74420242463047","0.336616435330503","3","3","0.723646110181767","0.758986230947957","0.0851059796628288","3","3","0.711329154025341","0.741187600987046","0.313856068952263","0.0359025317024574","0.0038234714788669",0.0152938859154676,"0.021714755979863","0.00380691482046003",0.0152276592818401
"faith.pd","3","3","19.1643786980911","17.2210229328742","0.356582108670812","3","3","10.369574876042","9.9361842390656","0.521292949244252","3","3","10.1974158456885","9.75661747283703","0.605202361978042","3","3","13.1511841597262","12.344686863659","0.512700212709357","-0.906010517777982","0.0607749809629499",0.0810333079505999,"-0.0293646772955352","0.0539271646822964",0.0719028862430619
"observed.otus","3","3","192.343333333333","159.01","0.256300194758927","3","3","151.676666666667","146.676666666667","0.698661347963264","3","3","160.343333333333","142.676666666667","0.419106281037543","3","3","183.01","174.676666666667","0.525794794379516","-16.0833333333334","0.0365008929551779",0.0730017859103558,"-0.0474686522899362","0.028358627551838",0.056717255103676
"shannon","3","3","5.39432742723859","5.53380386640371","0.326668256485463","3","3","5.11421783670681","5.27042394602437","0.191246396915618","3","3","5.23512990286044","5.35997688471728","0.481938776331454","3","3","5.27132838609633","5.44138452408473","0.548016275795954","0.147646417081981","0.103848990799898",0.103848990799898,"0.0124614231897302","0.0961048527079805",0.0961048527079805
