Region	SampleID	Unassigned; p__unassigned	k__Bacteria; p__Actinobacteria	k__Bacteria; p__Bacteroidetes	k__Bacteria; p__Firmicutes	k__Bacteria; p__Fusobacteria	k__Bacteria; p__Proteobacteria	k__Bacteria; p__Synergistetes	k__Bacteria; p__Verrucomicrobia	k__Bacteria; p__unassigned
v2	Patient1-fresh	38.2778486713707	1.82592703798228	25.5066806785768	32.8178952109293	0.617399789821348	0.936420957814142	0	0	0.0178276535054797
v2	Patient1-frozen	40.747535271681	3.11605009964497	17.7724399160607	35.3469096860193	1.6603096253085	1.35675540128549	0	0	0
v2	Patient2-fresh	14.7231339834817	7.89539168868718	29.8136057162494	31.638444857864	0	15.8441065990449	0.0651728264862367	0	0.020144328186655
v2	Patient2-frozen	18.0222643750838	6.69655687762258	27.5373148627158	38.0372094805618	0	9.59360809334943	0.0938859190281849	0	0.0191603916384051
v2	Patient3-fresh	19.9102354711352	1.34389588343472	18.8274026157744	45.6152985506501	0.0977378824316156	13.6177162772155	0.212194086858113	0	0.375519232500418
v2	Patient3-frozen	35.8518764530057	0.668382597143806	23.737960810362	27.4659581534374	0.0332115576220525	11.6531052806377	0	0	0.589505147791431
v3	Patient1-fresh	19.9749733669276	0.74031486209987	19.4020663882172	59.08821888158	0.00507296616331569	0.744035037286301	0.00946953683818929	0.0358489608874309	0
v3	Patient1-frozen	18.2823684131271	0.816927849333909	13.8852636756985	65.8200399554266	0.00376464446697654	1.13667165272912	0.0175683408458905	0.037395468371967	0
v3	Patient2-fresh	11.5444128397359	1.53394451435077	24.9595541973755	46.4992792011646	0	15.4531163534981	0.00969289387514848	0	0
v3	Patient2-frozen	12.6613258428834	1.53306296797999	21.2409935926735	56.6765837564717	0	7.87826910771123	0.00976473228012732	0	0
v3	Patient3-fresh	6.6185286758403	0.555171318017833	20.0537279794061	63.0013966070193	0	9.72738124167176	0.0245674657323909	0.0192267123123059	0
v3	Patient3-frozen	12.1991857297165	0.296058529503085	25.5052017964674	45.088358383879	0	16.911195560434	0	0	0
v4	Patient1-fresh	19.2693660549322	2.61302364164247	29.3610992905891	39.4668376003921	8.72731581980856	0.562357592635486	0	0	0
v4	Patient1-frozen	20.6798475503222	4.0989135116247	20.9260749083758	44.6573539091641	8.87799962618949	0.759810494323769	0	0	0
v4	Patient2-fresh	6.72950905410311	11.5146779225094	30.7728752238145	40.9492810248396	0.00553767774407315	10.0281190969893	0	0	0
v4	Patient2-frozen	8.50480573981319	9.30576237534407	26.9561391633952	48.5007445512387	0.00902486349893958	6.72352330670999	0	0	0
v4	Patient3-fresh	6.54806408544726	2.73297730307076	26.9893190921228	56.4819759679573	0.166221628838451	7.05407209612817	0	0	0.027369826435247
v4	Patient3-frozen	8.89645448605523	2.60497266068297	33.4898036383645	50.4057911207401	0.106606141889336	4.49637195226796	0	0	0
v67	Patient1-fresh	25.4991875473566	3.51040859141297	37.6886050779385	20.0476522089514	12.7526596327101	0.00963555695709111	0	0.491851384673333	0
v67	Patient1-frozen	30.4686149621527	4.97966584808252	27.6316175679245	24.1710612568365	12.3384437769668	0.0156541987496209	0	0.39494238928731	0
v67	Patient2-fresh	23.2528737764749	10.2281793098696	45.0662751033022	21.0763044970593	0.0145776072050486	0.312755936399225	0.049033769689709	0	0
v67	Patient2-frozen	23.4591225739437	10.6793522236733	38.7755025234373	26.6502075578923	0.00564527358877569	0.354146829802528	0.0760230176621793	0	0
v67	Patient3-fresh	24.5770072185306	3.65801699345334	28.5009053889075	32.4604455660524	0.301113505452817	10.0797233852532	0.129868001671487	0.273255385220448	0.0196645554581432
v67	Patient3-frozen	31.0854615022818	2.2724479981017	37.6125524891844	20.5630484616591	0.194914428328694	7.91352579014495	0.0169490807242342	0.324574895869085	0.0165253537061284
v8	Patient1-fresh	31.0042415266394	5.13713235579197	0.0473003884835185	40.6108728860216	18.8937912424494	4.25858579592596	0.0480758046881664	0	0
v8	Patient1-frozen	29.8305007982427	7.7367270915658	0.0373645534935858	43.5059273768951	15.3715508554218	3.46584540132927	0.052083923051665	0	0
v8	Patient2-fresh	12.7500389049164	24.5340388091504	0.0682332379664101	44.5162024013311	0.011372206327735	18.0470929049403	0.0730215353675617	0	0
v8	Patient2-frozen	14.9312133163566	22.2446507872426	0.132501061043653	51.9631895489788	0.00517582269701769	10.6073310352681	0.115938428413196	0	0
v8	Patient3-fresh	9.74342614956934	6.7857631135214	0.307289666082903	65.0711909427673	0.16796765646057	17.5448076509919	0.156248982754018	0	0.223305837852618
v8	Patient3-frozen	15.5296893025185	8.15564686515703	0.537920128582354	61.3812233470298	0.0985106741500214	13.9146327236905	0.0220352823756627	0	0.360341676496131
v9	Patient1-fresh	0	0	0	0	0	100	0	0	0
v9	Patient1-frozen	0	0	0	0	0	100	0	0	0
v9	Patient2-fresh	0.158499537709682	0	0	0	0	99.8415004622903	0	0	0
v9	Patient2-frozen	0.115573533660792	0	0	0	0	99.8844264663392	0	0	0
v9	Patient3-fresh	0.147906635285989	0	0.0615377971627837	0.0215922095308013	0	99.7689633580204	0	0	0
v9	Patient3-frozen	0.410756339339504	0	0.116837358745459	0	0	99.472406301915	0	0	0
