Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales	k__Bacteria; p__Firmicutes; c__unassigned; o__unassigned	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales	k__Bacteria; p__Proteobacteria; c__unassigned; o__unassigned	k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales	k__Bacteria; p__unassigned; c__unassigned; o__unassigned
v2	Patient1-fresh	38.2778486713707	0.137929740279237	0	0.970199669719261	0.00562978531751989	0.0159510583996397	0.696216784266627	25.5066806785768	0	0.149189310914277	0.858542260921784	27.7351373667617	1.56226542561177	2.21532052244408	0.297440324275634	0.617399789821348	0	0.0459765800930791	0	0	0.853850773157184	0	0.0187659510583996	0.00750638042335986	0	0.0103212730821198	0	0	0.0178276535054797
v2	Patient1-frozen	40.747535271681	0.149137510063482	0	2.15391518958941	0	0.0514722379865116	0.76152516200557	17.7724399160607	0	0.237564175322361	0.807718196096029	30.2735947419129	1.27360793992266	2.36112394250947	0.393300690255909	1.6603096253085	0	0.0343148253243411	0	0	1.29604455648088	0	0.0263960194802624	0	0	0	0	0	0
v2	Patient2-fresh	14.7231339834817	4.70192319086159	0.00829472337097558	3.07971229159507	0	0	0.105461482859547	29.8136057162494	0	0.110201324785818	0.551006623929092	30.2769252645424	0.208553044755957	0.476354113590312	0.0154044862603832	0	0	0.188408716569302	0	0	15.1852685712931	0	0.470429311182472	0	0	0	0.0651728264862367	0	0.020144328186655
v2	Patient2-frozen	18.0222643750838	2.30499511410013	0	4.24594278707057	0.00383207832768102	0.00958019581920254	0.132206702304995	27.5373148627158	0	0.166695407254124	0.664865589852657	36.4507290529018	0.203100151367094	0.538407005039183	0.0134122741468836	0	0	0.174359563909486	0	0.11113027150275	8.86551321109003	0	0.442605046847158	0	0	0	0.0938859190281849	0	0.0191603916384051
v2	Patient3-fresh	19.9102354711352	0.201905888707416	0.0244344706079039	0.850062372201289	0	0.0128602476883705	0.254632904229736	18.8274026157744	0	1.04939621137103	0.160753096104631	43.5280803508276	0.329222340822284	0.459110842474826	0.0887357090497563	0.0977378824316156	0	0.0128602476883705	0.027006520145578	0.307359919752054	1.10598130119986	11.7131135945678	0.0115742229195334	0.43982047094227	0	0	0.212194086858113	0	0.375519232500418
v2	Patient3-frozen	35.8518764530057	0.215875124543341	0	0.236632348057124	0	0	0.215875124543341	23.737960810362	0	0.5064762537363	0.0290601129192959	25.0498173364331	1.2329790767187	0.647625373630023	0	0.0332115576220525	0	0	0	0.5064762537363	3.80687479242776	6.84573231484557	0	0.494021919628031	0	0	0	0	0.589505147791431
v3	Patient1-fresh	19.9749733669276	0.0104841300708524	0	0.344623501361246	0.00642575714019987	0	0.378781473527572	19.4020663882172	0	0.243840573583374	2.88347396722864	46.9746520790706	2.60276983952517	6.38348242217224	0	0.00507296616331569	0	0	0	0	0.744035037286301	0	0	0	0	0	0.00946953683818929	0.0358489608874309	0
v3	Patient1-frozen	18.2823684131271	0.0185722460370843	0	0.34182971760147	0.00803124152954995	0	0.448494644165805	13.8852636756985	0	0.426408729959543	3.54027165674474	50.3087008462921	2.74793948459507	8.79671923783518	0	0.00376464446697654	0	0.00100390519119374	0	0	1.13566774753792	0	0	0	0	0	0.0175683408458905	0.037395468371967	0
v3	Patient2-fresh	11.5444128397359	0.458209528643383	0	0.84292929826973	0.00563950189099548	0	0.227166185546662	24.9595541973755	0	0.232100749701283	2.77569233697434	40.8395103502483	0.982859438940056	1.66911632530057	0	0	0	0.190156954387004	0	0.0897033269536468	11.2127396347718	0	3.96051643738567	0	0	0	0.00969289387514848	0	0
v3	Patient2-frozen	12.6613258428834	0.198826570044295	0	1.03963234744164	0.0268010737050303	0	0.267802976789024	21.2409935926735	0	0.317457679234777	2.79520655525176	51.7996193832013	0.305823104603136	1.45847703418072	0	0	0	0.20921458310826	0	0.0812342621602081	7.52237578013978	0.0043629654868654	0.0610815168161155	0	0	0	0.00976473228012732	0	0
v3	Patient3-fresh	6.6185286758403	0	0	0.133518835502124	0.00507371574908072	0	0.416578766766628	20.0537279794061	0	1.31836498174798	0.608578852218682	57.6673191287095	0.590153252919389	2.81698039142382	0	0	0	0.0093463184851487	0	0.265969520320232	0.682815324757864	8.4472026468774	0	0.322047431231124	0	0	0.0245674657323909	0.0192267123123059	0
v3	Patient3-frozen	12.1991857297165	0	0	0	0	0	0.296058529503085	25.5052017964674	0	0.614857152852789	0.180171512784743	40.0614857152853	1.75011260719549	2.48173139576072	0	0	0	0	0	0.487162779714087	2.2600154807562	7.30350591023785	6.56926326469032	0.291248125035531	0	0	0	0	0
v4	Patient1-fresh	19.2693660549322	0.468092670498311	0	1.01536787559185	0	0	1.12956309555231	29.3610992905891	0	0.833301911692621	2.09106530135149	34.7218107483558	0	1.82065963899228	0	8.72731581980856	0.00107731339585342	0.0759505944076662	0	0	0.460012820029411	0	0.0177756710315814	0.00754119377097395	0	0	0	0	0
v4	Patient1-frozen	20.6798475503222	0.466450506675768	0	2.23717464264528	0	0	1.39528836230365	20.9260749083758	0	0.294985250737463	2.65649251972663	39.0225667779972	0.00325052617892521	2.68005883452384	0	8.87799962618949	0	0.0398189456918339	0	0	0.705364180826771	0	0.0146273678051635	0	0	0	0	0	0
v4	Patient2-fresh	6.72950905410311	8.26467638426561	0.00861416537966934	2.60393913476862	0.0135365455966232	0.00123059505423848	0.622681097444669	30.7728752238145	0	0.152593786725571	1.60654184330833	37.5620681380481	0	1.62807725675751	0	0.00553767774407315	0	0.189511638352725	0	0.0769121908899048	9.52542101733293	0	0.236274250413788	0	0	0	0	0	0
v4	Patient2-frozen	8.50480573981319	5.11484138802401	0.0124091873110419	3.57046162176797	0.0135372952484094	0	0.594512882992645	26.9561391633952	0	0.252696177970308	1.61770678218492	45.0746807454537	0	1.55566084562971	0	0.00902486349893958	0	0.192906457289833	0	0.0936329588014981	6.18315960471098	0	0.253824285907676	0	0	0	0	0	0
v4	Patient3-fresh	6.54806408544726	1.17089452603471	0.00801068090787717	0.863150867823765	0.00333778371161549	0	0.68758344459279	26.9893190921228	0	0.70694259012016	0.294392523364486	52.9118825100134	0	2.56875834445928	0	0.166221628838451	0	0.0146862483311081	0.0360480640854473	0.268357810413885	0.430574098798398	6.09279038718291	0.00534045393858478	0.206275033377837	0	0	0	0	0.027369826435247
v4	Patient3-frozen	8.89645448605523	1.85013239795041	0.0189139929158499	0.158189758932563	0	0	0.577736510884143	33.4898036383645	0	0.321537879569449	0.070497609959077	47.9366553182709	0	2.07710031294061	0	0.106606141889336	0	0.0137556312115272	0.0395474397331408	0.333574056879535	1.294748787785	2.63936173871179	0	0.175384297946972	0	0	0	0	0
v67	Patient1-fresh	25.4991875473566	0.379728540081727	0	1.46285273803111	0.00525575834023152	0.0271547514245295	1.63541680353537	37.6886050779385	0	0.118254562655209	1.45321718107401	17.2301277587257	1.11422076812908	0.108181025836432	0.0236509125310418	12.7526596327101	0	0	0	0	0	0	0.00963555695709111	0	0	0	0	0.491851384673333	0
v67	Patient1-frozen	30.4686149621527	0.417771429130507	0	2.96223098422513	0.00587032453110783	0.0394616260146693	1.55433148418111	27.6316175679245	0	0.192742322104707	1.72881057441126	21.0105437551162	1.11960133973851	0.104361324997472	0.0150019404683867	12.3384437769668	0	0	0	0	0	0.0156541987496209	0	0	0	0	0	0.39494238928731	0
v67	Patient2-fresh	23.2528737764749	5.33142852599187	0.013517417590136	4.53469603038503	0.0111319909565826	0.0201436026833399	0.317261742262604	45.065479961091	0.00079514221118447	0.106018961491263	1.51050515384677	19.2101057274093	0.134379033690175	0.115295620621748	0	0.0145776072050486	0	0	0	0.00291552144100972	0.0463832956524274	0.0657317561245829	0.197725363181205	0	0	0	0.049033769689709	0	0
v67	Patient2-frozen	23.4591225739437	4.96482994554193	0.0109141956049663	5.42209710623276	0.0127959534678916	0.0195702817744224	0.2491447410513	38.7755025234373	0	0.153927793187284	1.66686111497917	24.5768867445213	0.134733862985446	0.117798042219119	0	0.00564527358877569	0	0	0	0.00602162516136074	0.0350006962504093	0.0767757208073494	0.236348787583409	0	0	0	0.0760230176621793	0	0
v67	Patient3-fresh	24.5770072185306	1.45517710390259	0.00983227772907159	1.42731898367023	0	0.0299065114259261	0.735782116725524	28.5009053889075	0	0.51373651134399	0.23966176964612	31.2891754815768	0.198284267536277	0.219587535949265	0	0.301113505452817	0	0	0	0.0143387383548961	0.00614517358066974	9.91544241152998	0	0.143797061787672	0	0	0.129868001671487	0.273255385220448	0.0196645554581432
v67	Patient3-frozen	31.0854615022818	1.21270672581896	0.0076270863259054	0.273727653696383	0	0	0.778386532260457	37.6125524891844	0	0.23516849504875	0.0605929635891373	19.1160206948276	0.858470938682463	0.292795369511146	0	0.194914428328694	0	0	0	0	0.00677963228969369	5.2974351803594	0	0.0911013088927589	2.5182096686031	0	0.0169490807242342	0.324574895869085	0.0165253537061284
v8	Patient1-fresh	31.0042415266394	1.72840272016005	0.00155083240929569	2.79925249877872	0.0155083240929569	0.113210765878585	0.479207214472368	0.0473003884835185	0	0.0946007769670371	5.43644301078604	24.9273047308143	4.75795383171917	5.39457053573506	0	18.8937912424494	0	3.11096981304715	0	0	1.07395144343727	0	0.0589316315532362	0.014732907888309	0	0	0.0480758046881664	0	0
v8	Patient1-frozen	29.8305007982427	1.79915986367599	0	5.22311167472458	0.0215129247387312	0.24456798650347	0.448374641923029	0.0373645534935858	0	0.109829142087207	5.44503447729254	27.7369535434052	3.90629422887487	6.30781598523534	0	15.3715508554218	0	1.88747608102447	0	0	1.53987250761444	0	0.0384968126903611	0	0	0	0.052083923051665	0	0
v8	Patient2-fresh	12.7500389049164	18.2021140333026	0.0191531896046063	6.02966350240013	0.0215473383051821	0.0395034535595006	0.222057291978405	0.0682332379664101	0	0.0616493290398267	2.66289189221543	40.191172773741	0.381268180566695	1.21922022576822	0	0.011372206327735	0	0.294480290170823	0	0.0628464033901146	16.9583537833535	0	0.730215353675617	0.0011970743502879	0	0	0.0730215353675617	0	0
v8	Patient2-frozen	14.9312133163566	14.1486289245676	0.0196681262486672	7.72543295756861	0.0300197716427026	0.0517582269701769	0.26914278024492	0.132501061043653	0	0.0828131631522831	3.17588480689005	47.3701644876453	0.406819663985591	0.92750742730557	0	0.00517582269701769	0	0.276388932020745	0	0.0517582269701769	9.58355330579796	0	0.695630570479178	0	0	0	0.115938428413196	0	0
v8	Patient3-fresh	9.74342614956934	4.11585862071211	0.0292966842663785	1.48176118645061	0.0117186737065514	0.0794265662332928	1.06770138215246	0.307289666082903	0	0.317706264933171	0.468095910833914	63.3524521324731	0.429684702573551	0.503251931953568	0	0.16796765646057	0	0	0.0403643205447881	0.248696297550146	0.753250304359998	16.0031510211522	0.0195311228442523	0.479814584540465	0	0	0.156248982754018	0	0.223305837852618
v8	Patient3-frozen	15.5296893025185	6.36690041348559	0.0181467031328987	0.439409454432332	0	0.0129619308092133	1.318228363297	0.537920128582354	0	0.195725155219121	0.169801293600695	59.1673255648161	1.12768798040156	0.720683352992262	0	0.0985106741500214	0	0	0.0414781785894827	0.413485592813906	2.92421159055853	10.001425812389	0	0.53403154933959	0	0	0.0220352823756627	0	0.360341676496131
v9	Patient1-fresh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30769230769231	0	0	78.4615384615385	19.2307692307692	0	0	0	0	0
v9	Patient1-frozen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.7671232876712	21.2328767123288	0	0	0	0	0
v9	Patient2-fresh	0.158499537709682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.0306432439572	0.429269581297055	0	41.3815876370361	0	0	0	0	0	0
v9	Patient2-frozen	0.115573533660792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.5041895405952	0	0.332273909274776	43.8312626408552	0.216700375613984	0	0	0	0	0
v9	Patient3-fresh	0.147906635285989	0	0	0	0	0	0	0.0615377971627837	0	0	0	0.0215922095308013	0	0	0	0	0	0	0	4.38213892427612	0	95.324207026105	0.049662081920843	0.0129553257184808	0	0	0	0	0
v9	Patient3-frozen	0.410756339339504	0	0	0	0	0	0	0.116837358745459	0	0	0	0	0	0	0	0	0	0	0	8.109242930427	0	91.3029191083849	0.0602442631031272	0	0	0	0	0	0
