	pielou_evenness
Patient1-fresh	0.7192406621470918
Patient1-frozen	0.759740729989506
Patient2-fresh	0.6385152909556947
Patient2-frozen	0.7007411386178839
Patient3-fresh	0.7462315089732371
Patient3-frozen	0.7330809343537485
