	atcc1	atcc2	atcc3	atcc4	atcc5
atcc1	0.0	0.0362	0.0297	0.0253	0.0138
atcc2	0.0362	0.0	0.0639	0.0597	0.048
atcc3	0.0297	0.0639	0.0	0.0046	0.0163
atcc4	0.0253	0.0597	0.0046	0.0	0.0121
atcc5	0.0138	0.048	0.0163	0.0121	0.0
