	Patient2-fresh	Patient3-fresh	Patient3-frozen
Patient2-fresh	0.0	0.6724035533180613	0.6564270169795181
Patient3-fresh	0.6724035533180613	0.0	0.2489170101499153
Patient3-frozen	0.6564270169795181	0.2489170101499153	0.0
