	atcc1	atcc2	atcc3	atcc4	atcc5
atcc1	0.0	0.0358	0.0707	0.0542	0.0543
atcc2	0.0358	0.0	0.0656	0.0467	0.0529
atcc3	0.0707	0.0656	0.0	0.0476	0.0284
atcc4	0.0542	0.0467	0.0476	0.0	0.0454
atcc5	0.0543	0.0529	0.0284	0.0454	0.0
