Region	SampleID	exported-evenness-vector	exported-faith-pd-vector	exported-observed-otus-vector	exported-shannon-vector
v2	atcc1	0.8770742528031144	3.2702720777279377	31	4.345198027172515
v2	atcc2	0.886200460524518	3.2651699665861256	30	4.348488705571696
v2	atcc3	0.8735306217142758	3.277567358476496	29	4.243595158949924
v2	atcc4	0.8815752762860363	3.287641431459612	31	4.367496981104571
v2	atcc5	0.8815352451530876	3.26593559586761	29	4.282481467488825
v3	atcc1	0.8843695219639766	2.8651666883597287	23	4.000500324652571
v3	atcc2	0.898312418452081	2.8651666833597287	22	4.005962802259749
v3	atcc3	0.9185765395677664	2.8651666773597286	21	4.034679738899324
v3	atcc4	0.9133745080067333	2.8651666773597286	21	4.011830765039953
v3	atcc5	0.9169939875438609	2.8651666773597286	21	4.027728668072269
v4	atcc1	0.9227862511887139	2.567021188103438	20	3.9882158245882895
v4	atcc2	0.9055255653913342	2.6736155917211826	21	3.9773557176399454
v4	atcc3	0.9199109852050494	2.567021188103438	20	3.975789131753216
v4	atcc4	0.8175396611231752	2.9031921044267173	31	4.050251972731371
v4	atcc5	0.848416123522258	2.6979639639713175	27	4.034123222369963
v67	atcc1	0.8354806082017959	4.69918180028526	30	4.099611939198678
v67	atcc2	0.8289382362372956	4.371514280835072	30	4.067509235733098
v67	atcc3	0.859711244135014	3.7997355748046937	27	4.087830250206985
v67	atcc4	0.8193207991644701	4.1177470508750424	31	4.059076080243844
v67	atcc5	0.7948573425703923	4.188238758170883	33	4.0095737045909745
v8	atcc1	0.8425554046405472	2.5333015725465966	23	3.811351574302202
v8	atcc2	0.8314834764284116	2.3483889630909096	24	3.8123205593935308
v8	atcc3	0.8586532928697412	2.4273200383219327	20	3.711037790221281
v8	atcc4	0.7524018898495305	2.6617010708868776	34	3.827816656296018
v8	atcc5	0.7863082045465487	2.575383608849289	30	3.8583283341392796
v9	atcc1	0.2973757318991202	1.1090114425445958	11	1.0287510095472245
v9	atcc2	0.2869835779155479	1.1105974720717628	12	1.0288253651500276
v9	atcc3	0.9992612140227842	0.1516164651244507	2	0.9992612140227842
v9	atcc4	0.5019452246634556	0.4360429575187883	4	1.0038904493269112
v9	atcc5	0.4335913006882403	0.6303392855263028	5	1.0067678227667793
