	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
Patient1-fresh	0.0	0.21226415094339623	0.7738853503184714	0.7922077922077922	0.8212121212121212	0.855595667870036
Patient1-frozen	0.21226415094339623	0.0	0.7908496732026143	0.81	0.8164556962025317	0.8517110266159695
Patient2-fresh	0.7738853503184714	0.7908496732026143	0.0	0.22058823529411764	0.7417218543046358	0.8153846153846154
Patient2-frozen	0.7922077922077922	0.81	0.22058823529411764	0.0	0.7431506849315068	0.8152610441767069
Patient3-fresh	0.8212121212121212	0.8164556962025317	0.7417218543046358	0.7431506849315068	0.0	0.44
Patient3-frozen	0.855595667870036	0.8517110266159695	0.8153846153846154	0.8152610441767069	0.44	0.0
