	pielou_evenness
Patient1-fresh	0.7735883927858768
Patient1-frozen	0.7782940801731503
Patient2-fresh	0.675701858162187
Patient2-frozen	0.6830201625545318
Patient3-fresh	0.6657050146194751
Patient3-frozen	0.7412930311637295
