	Patient2-fresh	Patient3-fresh	Patient3-frozen
Patient2-fresh	0.0	0.198015823343477	0.18608817619219678
Patient3-fresh	0.198015823343477	0.0	0.012651967465634538
Patient3-frozen	0.18608817619219678	0.012651967465634538	0.0
