# Constructed from biom file
#OTU ID	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
JX104001	18884.0	51541.0	85461.0	94935.0	106511.0	23004.0
AB547677	24.0	0.0	89252.0	52212.0	0.0	0.0
AF542229	1890.0	4015.0	26498.0	20964.0	28924.0	28644.0
DQ174182	0.0	0.0	62876.0	35283.0	0.0	0.0
AJ867050	23595.0	22223.0	0.0	0.0	6419.0	8834.0
AJ133124	28595.0	23294.0	2093.0	2418.0	68.0	0.0
EU483153	331.0	376.0	22478.0	23169.0	3099.0	317.0
JQ904752	0.0	0.0	0.0	21.0	30413.0	16235.0
DQ986463	3285.0	5083.0	12312.0	12479.0	5205.0	1459.0
KC135882	0.0	0.0	22157.0	0.0	0.0	15022.0
AF542232	2944.0	5223.0	9933.0	13177.0	5314.0	200.0
EF036467	10581.0	11835.0	8790.0	10019.0	637.0	172.0
JN037416	0.0	0.0	15245.0	15632.0	1627.0	472.0
KF830695	9293.0	7295.0	7117.0	5806.0	1552.0	1012.0
KC311747	5532.0	11630.0	3395.0	5024.0	2503.0	846.0
FR798912	3516.0	6401.0	13452.0	13195.0	4419.0	3904.0
AZJF01000012	359.0	421.0	0.0	0.0	18974.0	5910.0
EF529620	9098.0	9148.0	3344.0	3820.0	0.0	0.0
AF338413	8337.0	16744.0	0.0	0.0	165.0	0.0
AAXA02000007	9147.0	14284.0	0.0	0.0	17.0	0.0
DQ518919	0.0	0.0	14153.0	17179.0	5842.0	7405.0
AB542764	0.0	0.0	0.0	0.0	13260.0	7263.0
KF148833	7259.0	12282.0	0.0	0.0	272.0	69.0
AB242143	0.0	0.0	10954.0	8791.0	45.0	23.0
EU483154	3478.0	5070.0	855.0	2787.0	2523.0	4048.0
AB698913	5384.0	6815.0	2845.0	3205.0	123.0	0.0
KF814111	1588.0	1683.0	196.0	1124.0	6410.0	8148.0
JN713314	4689.0	6283.0	2961.0	3467.0	237.0	0.0
X72865	5340.0	7801.0	2571.0	2029.0	940.0	890.0
JF313109	2267.0	2764.0	465.0	379.0	4115.0	7008.0
AY033434	8525.0	7504.0	1316.0	1155.0	1002.0	1353.0
HM007586	2200.0	4525.0	748.0	924.0	2557.0	5168.0
EU722739	4858.0	5080.0	0.0	0.0	7961.0	9793.0
AGPT01000002	266.0	457.0	5483.0	5126.0	1709.0	218.0
DM464569	4802.0	7993.0	2722.0	2624.0	1587.0	443.0
AP010969	88.0	133.0	6608.0	5279.0	0.0	0.0
X83951	0.0	0.0	2909.0	2155.0	3180.0	3813.0
M23731	4915.0	6301.0	0.0	12.0	0.0	0.0
JRNP01000093	0.0	0.0	0.0	0.0	10322.0	631.0
AB599947	5932.0	4840.0	0.0	0.0	0.0	0.0
AY974070	0.0	0.0	33.0	22.0	4342.0	5984.0
CP000140	3720.0	4368.0	0.0	0.0	393.0	411.0
AY968205	0.0	0.0	233.0	363.0	3145.0	5083.0
AF028352	1745.0	3233.0	98.0	106.0	1423.0	2090.0
AY850122	446.0	1055.0	2010.0	1544.0	1638.0	1252.0
CQ889266	3173.0	3073.0	559.0	1087.0	0.0	0.0
HE586272	653.0	537.0	3345.0	3095.0	117.0	0.0
ACEP01000116	2751.0	3158.0	496.0	940.0	240.0	0.0
FJ715928	547.0	1054.0	1068.0	1142.0	3411.0	221.0
GU562446	0.0	0.0	3565.0	3403.0	336.0	0.0
JGEI01000020	0.0	0.0	1702.0	1790.0	2043.0	1379.0
AJ132842	0.0	0.0	3341.0	3355.0	174.0	47.0
JNHQ01000190	0.0	0.0	3834.0	3035.0	0.0	0.0
HQ264056	1765.0	3528.0	442.0	461.0	469.0	27.0
HM007565	2583.0	3973.0	0.0	0.0	0.0	0.0
AB554232	0.0	0.0	2804.0	2327.0	745.0	420.0
BAME01000208	0.0	0.0	639.0	912.0	6547.0	435.0
AB238928	945.0	1006.0	1125.0	1047.0	1110.0	789.0
L14327	0.0	0.0	0.0	0.0	4588.0	1361.0
AJ277208	524.0	582.0	0.0	0.0	4745.0	0.0
AY850119	1691.0	3392.0	0.0	0.0	3152.0	2617.0
AY974071	379.0	456.0	0.0	0.0	2960.0	1799.0
D14154	0.0	0.0	0.0	145.0	4554.0	812.0
JN713286	0.0	0.0	3295.0	1724.0	0.0	0.0
AB510708	0.0	0.0	2754.0	2064.0	225.0	109.0
AY895199	1237.0	1865.0	761.0	645.0	0.0	0.0
FJ611794	1794.0	2672.0	0.0	0.0	0.0	0.0
AY895189	3172.0	3533.0	129.0	96.0	0.0	0.0
AY764158	70.0	103.0	129.0	95.0	2127.0	1866.0
AM230650	1994.0	2364.0	0.0	0.0	0.0	0.0
HQ455040	1079.0	1270.0	744.0	473.0	335.0	364.0
GU938836	0.0	0.0	235.0	394.0	2425.0	1211.0
HQ452864	0.0	0.0	4117.0	0.0	0.0	0.0
L34420	0.0	0.0	2124.0	1924.0	28.0	0.0
ARKX01000002	0.0	0.0	743.0	1411.0	1033.0	209.0
AJ576075	0.0	0.0	2535.0	846.0	0.0	0.0
AGXT01000001	664.0	659.0	1411.0	1179.0	108.0	67.0
Y07841	810.0	2222.0	428.0	591.0	1991.0	0.0
AM039824	0.0	0.0	1129.0	1033.0	601.0	184.0
DQ497994	0.0	0.0	1428.0	1431.0	0.0	0.0
AB547676	0.0	0.0	767.0	1318.0	1185.0	45.0
AB006127	72.0	0.0	1300.0	1292.0	0.0	0.0
JN837493	0.0	0.0	1230.0	1186.0	0.0	0.0
GU811876	56.0	82.0	92.0	71.0	530.0	1583.0
L34418	0.0	0.0	902.0	1434.0	0.0	0.0
Y07839	236.0	435.0	0.0	201.0	1402.0	0.0
HM216570	506.0	1085.0	252.0	275.0	214.0	45.0
EF519868	0.0	0.0	1353.0	909.0	0.0	0.0
L35148	0.0	0.0	509.0	391.0	638.0	667.0
X84247	190.0	494.0	626.0	737.0	156.0	0.0
AY974072	782.0	773.0	285.0	197.0	81.0	73.0
KP233308	0.0	0.0	0.0	0.0	1462.0	677.0
AB370250	0.0	0.0	1079.0	1007.0	35.0	0.0
HQ662532	326.0	472.0	701.0	516.0	0.0	0.0
AB238924	686.0	813.0	0.0	0.0	214.0	245.0
AF101240	640.0	1233.0	0.0	0.0	0.0	0.0
KF318815	0.0	0.0	0.0	0.0	1206.0	666.0
GU968166	0.0	0.0	0.0	0.0	977.0	878.0
ABIK02000013	362.0	426.0	439.0	544.0	15.0	0.0
LN623577	0.0	0.0	816.0	998.0	0.0	0.0
GU401493	699.0	1393.0	0.0	6.0	38.0	0.0
KF598968	0.0	0.0	0.0	0.0	1088.0	406.0
AF473835	0.0	0.0	0.0	0.0	720.0	668.0
ACCF01000268	333.0	575.0	124.0	115.0	81.0	82.0
CAEN01000062	151.0	146.0	483.0	305.0	161.0	247.0
AB547649	0.0	0.0	0.0	0.0	628.0	607.0
HF558387	0.0	0.0	304.0	748.0	135.0	0.0
AB547674	0.0	0.0	374.0	727.0	0.0	0.0
X84250	0.0	0.0	478.0	512.0	0.0	0.0
X95624	348.0	613.0	0.0	0.0	0.0	0.0
KC140346	176.0	315.0	127.0	226.0	40.0	0.0
AJ315980	0.0	0.0	0.0	0.0	303.0	496.0
AB050107	0.0	0.0	0.0	0.0	608.0	182.0
FR870271	199.0	579.0	0.0	0.0	0.0	0.0
HF545616	0.0	0.0	0.0	0.0	540.0	200.0
HM007591	273.0	402.0	25.0	19.0	12.0	0.0
GU968170	0.0	0.0	38.0	0.0	401.0	236.0
AB037874	27.0	40.0	316.0	284.0	0.0	0.0
KC311367	0.0	27.0	360.0	263.0	0.0	17.0
AF192154	0.0	0.0	0.0	0.0	295.0	343.0
AY365452	0.0	0.0	316.0	294.0	0.0	0.0
ACLP01000023	0.0	0.0	224.0	235.0	135.0	0.0
ACUX02000006	275.0	318.0	0.0	0.0	0.0	0.0
AB233029	188.0	311.0	0.0	58.0	0.0	0.0
