Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
v2	atcc1	0.0891756209265457	1.923330984675	5.34062885326757	0	0	1.24295402501321	14.2537872115554	11.8295314426634	11.8405407785802	11.1051171393342	9.15426281486701	0	3.78280782103224	0	5.2613616346662	0	4.48520345252774	7.69662673947507	11.9946714814162
v2	atcc2	0.0499277088382446	1.94614048409074	5.36410821830891	0	0	1.2211485453354	15.7095455538335	10.1758911575947	12.8886300044727	11.1567626041461	9.53619238810472	0	3.54590748811616	0.00416064240318705	5.06662228648103	0	4.85755000572088	7.09077481563153	11.3866380969222
v2	atcc3	1.35653549535298	1.44354360292664	5.27585525014831	0	0	1.34862566739173	18.3112517302749	8.88273680047459	11.5799881352581	8.01265572473799	9.60648605892822	0	3.22720980818667	0	5.28376507810955	0	7.03579197152462	7.74767648803639	10.8878781886494
v2	atcc4	3.8105119196397	1.6623829847438	5.59786837699545	0	0	1.43365794996345	14.3884552807187	8.41566648588743	11.6531868235516	7.80494706312339	10.5567214506355	0	4.10997665589851	0	5.14749227758259	0	5.76764366054375	7.78608314272914	11.865405927987
v2	atcc5	0.959262052154394	1.79225926380583	5.26278869929677	0	0	1.52570015607737	17.1527278466584	10.1134629886186	11.2182803430195	7.82666643284289	9.77149571225646	0	4.06678007119934	0	4.95063395472003	0	6.35883766199604	7.97923644845063	11.0218683689038
v3	atcc1	0.854316239023756	0.299258782706299	0.497566918301839	0	0.0013688223337052	0.330057285214666	14.4896688134364	0	20.7082286754591	22.0857772515416	13.6522917507922	0	3.98994599995894	0	3.65749327566029	0	2.28251124145342	6.15490962350542	10.9966053206124
v3	atcc2	0.784440221494504	0.294281954368766	0.5205448072909	0	0	0.32607095023386	14.7162014019882	0	20.5284453077338	21.7179614838916	13.4030353816199	0.00186994093324077	4.23167633192387	0	3.59683138508862	0	2.23013830550627	6.41693605503236	11.231566472894
v3	atcc3	0.854782030582202	0.337164023174091	0.479627694937791	0	0	0.24693703105708	13.296609364612	0	22.1008642796087	22.6279798651344	10.2811283122804	0	4.0412194890303	0	4.57308386361478	0	2.19868933421977	6.80501472124608	12.1568999905024
v3	atcc4	0.774910000610165	0.204405393861737	0.29593019708341	0	0	0.203388451603718	13.2527915064983	0	21.0669758171131	22.9676408973498	12.1575446946122	0	4.33624178819127	0	4.3820041898021	0	2.22710354506071	6.54402343034962	11.5870400878638
v3	atcc5	0.924237661112858	0.230535471025883	0.358377868594781	0	0	0.251493241119145	14.3539767368752	0	21.2092633343812	22.544273289322	10.6926543015823	0	3.90024101435607	0	4.41999371266897	0	2.24876873100702	6.65409200461071	12.2120926333438
v4	atcc1	0.0109156686626747	1.75508358283433	4.02008483033932	0	0	0.240924401197605	20.7826534431138	2.04200973053892	18.2377432634731	18.1667914171657	10.0166853792415	0	3.04859031936128	0.00779690618762475	5.20833333333333	0	3.1499500998004	4.46762724550898	8.84481037924152
v4	atcc2	0.0174481421084066	1.84010791004812	3.60371242777476	0	0	0.227496929798071	19.9620167367948	1.9293618677565	19.1110842678156	18.3386684383242	11.1124532758887	0	2.95746008737493	0.0093951534429882	4.85662324763611	0	3.50908981095609	4.28284780522505	8.24223389905579
v4	atcc3	0	1.04154407437919	5.37248440626103	0	0	0.09415087678004	21.6958926680005	1.15923267035424	14.9523361186301	17.5826762386725	7.84394492173708	0	4.38390020007061	0	7.19665764387431	0	3.03636577615629	4.78992585618454	10.8508885488996
v4	atcc4	1.69881352706047	1.55764228158112	3.91948480426369	0	0	0.123723114015608	18.7472241609035	0.929509548886492	17.9953683141933	17.7891631241672	8.66854894993972	0	4.41279106655669	0	6.61442801852674	0	2.19687837066176	5.23126705158302	10.1151576676607
v4	atcc5	1.22645641699518	1.33596145422689	4.15900131406045	0	0	0.1598773543583	20.0306614104249	1.29872974156811	17.3609286027157	17.2295225580377	8.88961892247043	0	4.32106876916338	0	6.37757336837495	0	2.58650897941305	5.05694261936049	9.96714848883049
v67	atcc1	0.488726468246994	1.16612047844021	3.7250209343437	0.000775346062792693	0.000516897375195129	2.34180355832153	24.299345607923	3.33295427525819	13.4695702515223	14.6902234030456	20.2781424775925	0	2.47542152980947	0	0	0	3.62215835667986	8.16594473333264	1.94327568204609
v67	atcc2	0.452681864018785	1.1604113148384	3.77455707103793	0	0	2.22586984844358	22.7448714457113	3.31157025401709	13.7258293646996	14.27972058856	22.0220525994244	0	2.51293639635794	0	0	0	4.0818654909206	7.93076543718763	1.77686832478268
v67	atcc3	3.4711050612548	0.897166192302933	2.61106298725405	0	0	2.06038856577156	30.1385967083282	2.87711916841975	11.8240316792476	11.2114837272615	18.7229303304047	0	2.83380769706719	0	0	0	2.14701150847667	8.98403662913006	2.22125974508105
v67	atcc4	0.219046804141354	0.742705570291777	2.16650979721058	0	0	1.29032258064516	28.5753401215025	3.89492598613844	14.1011380165996	13.1205613074356	20.0034226063147	0	3.49276974416018	0	0	0	1.41182510481732	8.33746898263027	2.64396337811243
v67	atcc5	0.857572987795043	0.865637937523523	2.90069358567665	0	0	1.94902951771601	31.2704984138932	3.04317436421313	11.5463196946072	10.8150975858917	21.6140652723265	0	3.02973278133233	0	0	0	2.13452336147105	8.01387171353299	1.95978278402065
v8	atcc1	0.0573795213959408	1.44110874890574	5.81666507279107	0	0	5.28553668243377	0.0360461095948859	5.94834371804586	5.54227325893612	24.471630240479	0.222161736686848	0	11.9886417973032	0	8.4075711542847	0	0.783451157521499	12.160780361491	17.8384104401304
v8	atcc2	0.035992724327868	1.46991715246132	5.8623149749015	0	0	5.56858863529729	0.021852725484777	5.59686863298348	5.72091498647059	23.8895280454023	0.223669072608894	0	11.752267220269	0	8.27189932320824	0	0.662009036744715	12.3622153521824	18.5619621176576
v8	atcc3	0.0420698359276399	1.64072360117796	5.99495161968868	0	0	7.03267423923713	0	6.66105735520965	2.51016687701585	21.0419296031412	0.12620950778292	0	13.1047538914598	0	9.78824849249755	0	0.364605244706212	13.2660215958491	18.4265881363063
v8	atcc4	1.42256493776278	1.59872368005584	5.75673474814286	0	0	6.12068535722002	0	6.477988466588	1.73001179931198	18.5731141874263	0.829275588719193	0	14.7773918534891	0	9.98454456317618	0	0.314094361258372	13.4528775364366	18.9619929204128
v8	atcc5	0.947938609690039	1.55883238037918	5.79596749924767	0	0	6.16310562744508	0	6.84321396328619	2.07643695455913	20.2226903400542	1.36322600060187	0	12.7234426722841	0	9.38007824255191	0	0.409268733072525	13.8007824255191	18.7150165513091
v9	atcc1	0.220443841521117	0	0	0	0	0	0	0	0.0311794019024905	0	0	0	0	0	0	0	0	54.2018346616488	45.5465420949276
v9	atcc2	0.331948972149035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.0513106774438	42.6167403504071
v9	atcc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035106196243637	0	51.7553098121818	48.2095839915745
v9	atcc4	0.021225413895571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.9621715956795	48.016602990425
v9	atcc5	0.0566294170945334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.881002718212	46.0623678646934
