Region	SampleID	Unassigned; p__unassigned	k__Bacteria; p__Actinobacteria	k__Bacteria; p__Bacteroidetes	k__Bacteria; p__DeinococcusThermus	k__Bacteria; p__Firmicutes	k__Bacteria; p__Proteobacteria
v2	atcc1	0.0891756209265457	8.50691386295579	14.2537872115554	11.8295314426634	32.0999207327814	33.2206711291175
v2	atcc2	0.0499297862381027	8.53175222343579	15.710199199043	10.1763145576533	33.5829822645238	31.9488219691059
v2	atcc3	1.35653549535298	8.06802452046668	18.3112517302749	8.88273680047459	29.1991299189243	34.1823215345066
v2	atcc4	3.8105119196397	8.6939093117027	14.3884552807187	8.41566648588743	30.0148553373105	34.676601664741
v2	atcc5	0.959262052154394	8.58074811917998	17.1527278466584	10.1134629886186	28.8164424881188	34.3773565052698
v3	atcc1	0.854542871763802	1.12718192538282	14.4858109599873	0	56.4438146191354	27.0886496237307
v3	atcc2	0.784454890337601	1.14091904640579	14.7164765914079	0	55.6504828044029	27.7076666674458
v3	atcc3	0.855269409864107	1.06433526560867	13.3041908201083	0	54.9843200608192	29.7918844435997
v3	atcc4	0.774910000610165	0.703724042548864	13.2527915064983	0	56.1921614090752	29.0764130412675
v3	atcc5	0.924237661112858	0.840406580739809	14.3539767368752	0	54.4461909252855	29.4351880959866
v4	atcc1	0.0109165198134835	6.01656192005989	20.7842739734573	2.04216895653666	46.4248397610842	24.7212388690485
v4	atcc2	0.017449781542158	5.67185014664528	19.9638923751166	1.92954315129632	48.5667689044893	23.8504956409103
v4	atcc3	0	6.51047798445962	21.7035554509065	1.1596421003061	40.3578996939016	30.2684247704262
v4	atcc4	1.69881352706047	5.60085019986041	18.7472241609035	0.929509548886492	44.4530803883002	28.5705221749889
v4	atcc5	1.22645641699518	5.65484012264564	20.0306614104249	1.29872974156811	43.4800700832238	28.3092422251424
v67	atcc1	0.488782051282051	7.23273366418528	24.2971980976013	3.33333333333333	48.4393093465674	16.2086435070306
v67	atcc2	0.452681864018785	7.16083823431991	22.7448714457113	3.31157025401709	50.0276025526841	16.3024356492488
v67	atcc3	3.47497522299306	5.57482656095144	30.1040634291378	2.88032705649158	41.7616451932607	16.2041625371655
v67	atcc4	0.219046804141354	4.19953794814751	28.5753401215025	3.89492598613844	47.22512193035	15.8860272097202
v67	atcc5	0.857572987795043	5.71536104091618	31.2704984138932	3.04317436421313	43.9754825528254	15.137910640357
v8	atcc1	0.0576948681154489	12.6122461055964	0.0155332337233901	5.98103466130154	30.4022367856562	50.9312543456071
v8	atcc2	0.0359985086332138	12.9028940229619	0.0057854746017665	5.59776809246474	29.8389066738664	51.618647227472
v8	atcc3	0.0420875420875421	14.6745230078563	0	6.6638608305275	23.6461840628507	54.9733445566779
v8	atcc4	1.42256493776278	13.4761437854187	0	6.477988466588	21.1324015754574	57.4909012347731
v8	atcc5	0.947938609690039	13.5179055070719	0	6.84321396328619	23.6623532952152	55.0285886247367
v9	atcc1	0.221685580535676	0	0	0	0.00990158920506741	99.7684128302593
v9	atcc2	0.331948972149035	0	0	0	0	99.668051027851
v9	atcc3	0	0	0	0	0	100
v9	atcc4	0.021225413895571	0	0	0	0	99.9787745861044
v9	atcc5	0.0566294170945334	0	0	0	0	99.9433705829055
