Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned; f__unassigned; g__unassigned; s__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Actinomyces_odontolyticus	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium_adolescentis	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium; s__Propionibacterium_acnes	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_vulgatus	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_gingivalis	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_radiodurans	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_cereus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_aureus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_capitis	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_epidermidis	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__unassigned	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus_faecalis	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__unassigned	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_gasseri	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_johnsonii	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__unassigned	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_agalactiae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_dysgalactiae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_mutans	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto_1; s__Clostridium_butyricum	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto_1; s__unassigned	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__Rhodobacter_sphaeroides	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__Neisseria_meningitidis	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__Helicobacter_pylori	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__Enterobacter_cloacae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__unassigned	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__EscherichiaShigella; s__Escherichia_coli	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pectobacterium; s__Pectobacterium_carotovorum	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unassigned; s__unassigned	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter_baumannii	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas_aeruginosa
v4	atcc3	0	1.04191193783847	5.37438191664705	0	0.0941841299740994	13.7567694843419	7.94678596656463	1.1596421003061	5.60395573345891	8.88274075818225	0	0	0.470920649870497	0	1.60113020955969	0	0	5.72757240404992	5.43913350600424	0	4.82105015304921	0	0	7.81139627972687	4.385448551919	7.19919943489522	3.0374381916647	0	0	4.79161761243231	0	0	7.94678596656463	2.90793501295032
v4	atcc4	1.69881352706047	1.55764228158112	3.91948480426369	0	0.123723114015608	11.5633525791511	7.18387158175243	0.929509548886492	6.34160269018463	0	0	0	11.6537656240086	0	1.91770826724193	0	0	5.51678193008058	5.22809466404416	0	5.12657826280058	0	0	8.66854894993972	4.41279106655669	6.61442801852674	2.19687837066176	0	0	5.23126705158302	0	0	7.14897531882495	2.96618234883573
v4	atcc5	1.22645641699518	1.33596145422689	4.15900131406045	0	0.1598773543583	12.4989049496277	7.5317564607972	1.29872974156811	5.99868593955322	0	0	0	11.3622426631625	0	1.75865089794131	0	0	5.32851511169514	5.19491896627245	0	4.94743758212878	0	0	8.88961892247043	4.32106876916338	6.37757336837495	2.58650897941305	0	0	5.05694261936049	0	0	7.06964520367937	2.89750328515112
v67	atcc1	0.488782051282051	1.16521918941274	0	3.72544458229942	2.34206989247312	15.096670802316	9.20052729528536	3.33333333333333	7.63699338296112	2.99731182795699	0.475341191066998	2.36145574855252	0	1.65555210918114	0	0	7.31570512820513	0	3.283447063689	0	2.43718982630273	19.572994210091	0	0.703318858560794	2.47570306038048	0	3.62257030603805	0	0	8.16687344913151	0	0	0.144230769230769	1.79926592224979
v67	atcc2	0.452681864018785	1.1604113148384	0	3.77455707103793	2.22586984844358	14.203537543152	8.54133390255931	3.31157025401709	7.82624377102394	3.02229550188801	0.449737591732483	2.42755250005521	0	1.5678249924553	0	0	6.95841951463671	0	3.36015074674106	0	2.39332533472696	21.3084346040322	0	0.713617995392214	2.51293639635794	0	4.0818654909206	0	0	7.93076543718763	0	0	0.193585902824293	1.58328242195838
v67	atcc3	3.47497522299306	0.89816650148662	0	2.61397423191278	2.06268582755203	21.0170961347869	9.08696729435084	2.88032705649158	5.94028741328048	3.20862239841427	0.359266600594648	2.32903865213082	0	1.3689296333003	0	0	5.63057482656095	0	2.52725470763132	0	1.69722497522299	18.7004459861249	0	0	2.83696729435084	0	2.1494053518335	0	0	8.99405351833498	0	0	0.0867195242814668	2.13701684836472
v67	atcc4	0.219046804141354	0.742705570291777	0	2.16650979721058	1.29032258064516	20.6109352271755	7.96440489432703	3.89492598613844	7.13955677248225	3.33190724736887	0.55788482929751	3.07178916745101	0	1.74895182681612	0	0	5.58227089928981	0	3.53555232309404	0	2.25378625823565	19.2264909728758	0	0.776931633438864	3.49276974416018	0	1.41182510481732	0	0	8.33746898263027	0	0	0.0342260631470865	2.60973731496535
v67	atcc5	0.857572987795043	0.865637937523523	0	2.90069358567665	1.94902951771601	21.9178450454325	9.35265336846067	3.04317436421313	6.38206355180386	2.42217323512017	0.478520350556482	2.26356255712673	0	1.3307167051992	0	0	5.1965159417173	0	2.60497876229905	0	1.68288617667617	20.8720898973063	0	0.741975375020162	3.02973278133233	0	2.13452336147105	0	0	8.01387171353299	0	0	0.0833378138609603	1.87644497015969
v8	atcc1	0.0576948681154489	1.44902880305339	5.84863233575455	0	5.31458496678847	0	0.0155332337233901	5.98103466130154	1.90614968119887	3.17025903516428	0	0.496323801352131	0	4.36483867627262	0	0	0	0	0	11.7379469503084	8.50333594686155	0.223382694498277	0	0	12.0545290471471	7.92490791011435	0.787756853114783	0	0	0	11.0448688551267	1.1827447963667	10.6950012574523	7.24144562628519
v8	atcc2	0.0359985086332138	1.47015337936	5.86325709363469	0	5.56948354996722	0	0.0057854746017665	5.59776809246474	1.98120363584937	3.21222406500302	0	0.528406680294674	0	4.41303146012522	0	0.0102852881809182	0	0	0	11.1306103032874	8.33944022319075	0.223705017934971	0	0	11.7541558992556	8.27322868052609	0.66211542664661	0	0	0	11.1479667270927	1.21623532739358	11.1582520152737	7.40669315128373
v8	atcc3	0.0420875420875421	1.64141414141414	5.99747474747475	0	7.03563411896745	0	0	6.6638608305275	0.820707070707071	1.55723905723906	0	0.13327721661055	0	3.75982042648709	0	0	0	0	0	9.17508417508417	8.1158810325477	0.0841750841750842	0	0	13.1102693602694	9.79236812570146	0.364758698092031	0	0	0	11.2023007856341	2.06930415263749	10.5569584736251	7.87738496071829
v8	atcc4	1.42256493776278	1.59872368005584	5.75673474814286	0	6.12068535722002	0	0	6.477988466588	0.668073720771775	1.06193807854021	0	0	0	3.27223173183986	0	0	0	0	0	8.09831652069865	7.20256593488774	0.0232662489821016	0.806009339737091	0	14.7773918534891	9.98454456317618	0.314094361258372	0	0	0	11.6131819919233	1.83969554451332	11.157828261845	7.8041646585678
v8	atcc5	0.947938609690039	1.55883238037918	5.79596749924767	0	6.16310562744508	0	0	6.84321396328619	0.671080349082155	1.40535660547698	0	0	0	3.58712007222389	0	0	0	0	0	8.66385795967499	7.97171230815528	0.0300932891965092	1.33313271140536	0	12.7234426722841	9.38007824255191	0.409268733072525	0	0	0	11.8988865482997	1.90189587721938	10.9298826361721	7.78513391513692
v9	atcc1	0.221685580535676	0	0	0	0	0	0	0	0	0.00990158920506741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.9653114324849	0	0	45.8031013977743	0
v9	atcc2	0.331948972149035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.0513106774438	0	0	42.6167403504071	0
v9	atcc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.7734855136084	0	0	48.2265144863916	0
v9	atcc4	0.021225413895571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.9621715956795	0	0	48.016602990425	0
v9	atcc5	0.0566294170945334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.881002718212	0	0	46.0623678646934	0
