	shannon_entropy
Patient1-fresh	5.991163573335834
Patient1-frozen	6.037799842326979
Patient2-fresh	4.704110996938608
Patient2-frozen	5.050109217285875
Patient3-fresh	5.457707711441341
Patient3-frozen	5.483502539598287
