Region	SampleID	Unassigned; p__unassigned; c__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria	k__Bacteria; p__Bacteroidetes; c__Bacteroidia	k__Bacteria; p__DeinococcusThermus; c__Deinococci	k__Bacteria; p__Firmicutes; c__Bacilli	k__Bacteria; p__Firmicutes; c__Clostridia	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
v2	atcc1	0.0891756209265457	8.50691386295579	14.2537872115554	11.8295314426634	22.9456579179144	9.15426281486701	3.78280782103224	5.2613616346662	0	4.48520345252774	19.6912982208913
v2	atcc2	0.0499277088382446	8.53139724773505	15.7095455538335	10.1758911575947	24.0453926086188	9.53619238810472	3.54590748811616	5.07078292888422	0	4.85755000572088	18.4774129125537
v2	atcc3	1.35653549535298	8.06802452046668	18.3112517302749	8.88273680047459	19.592643859996	9.60648605892822	3.22720980818667	5.28376507810955	0	7.03579197152462	18.6355546766858
v2	atcc4	3.8105119196397	8.6939093117027	14.3884552807187	8.41566648588743	19.458133886675	10.5567214506355	4.10997665589851	5.14749227758259	0	5.76764366054375	19.6514890707161
v2	atcc5	0.959262052154394	8.58074811917998	17.1527278466584	10.1134629886186	19.0449467758624	9.77149571225646	4.06678007119934	4.95063395472003	0	6.35883766199604	19.0011048173544
v3	atcc1	0.854316239023756	1.12825180855651	14.4896688134364	0	42.7940059270007	13.6522917507922	3.98994599995894	3.65749327566029	0	2.28251124145342	17.1515149441178
v3	atcc2	0.784440221494504	1.14089771189353	14.7162014019882	0	42.2464067916255	13.4030353816199	4.23354627285711	3.59683138508862	0	2.23013830550627	17.6485025279264
v3	atcc3	0.854782030582202	1.06372874916896	13.296609364612	0	44.7288441447431	10.2811283122804	4.0412194890303	4.57308386361478	0	2.19868933421977	18.9619147117485
v3	atcc4	0.774910000610165	0.703724042548864	13.2527915064983	0	44.034616714463	12.1575446946122	4.33624178819127	4.3820041898021	0	2.22710354506071	18.1310635182134
v3	atcc5	0.924237661112858	0.840406580739809	14.3539767368752	0	43.7535366237032	10.6926543015823	3.90024101435607	4.41999371266897	0	2.24876873100702	18.8661846379545
v4	atcc1	0.0109156686626747	6.01609281437126	20.7826534431138	2.04200973053892	36.4045346806387	10.0166853792415	3.04859031936128	5.21613023952096	0	3.1499500998004	13.3124376247505
v4	atcc2	0.0174481421084066	5.67131726762095	19.9620167367948	1.9293618677565	37.4497527061397	11.1124532758887	2.95746008737493	4.8660184010791	0	3.50908981095609	12.5250817042808
v4	atcc3	0	6.50817935742027	21.6958926680005	1.15923267035424	32.5350123573026	7.84394492173708	4.38390020007061	7.19665764387431	0	3.03636577615629	15.6408144050841
v4	atcc4	1.69881352706047	5.60085019986041	18.7472241609035	0.929509548886492	35.7845314383605	8.66854894993972	4.41279106655669	6.61442801852674	0	2.19687837066176	15.3464247192437
v4	atcc5	1.22645641699518	5.65484012264564	20.0306614104249	1.29872974156811	34.5904511607534	8.88961892247043	4.32106876916338	6.37757336837495	0	2.58650897941305	15.024091108191
v67	atcc1	0.488726468246994	7.23423721454342	24.299345607923	3.33295427525819	28.1597936545678	20.2781424775925	2.47542152980947	0	0	3.62215835667986	10.1092204153787
v67	atcc2	0.452681864018785	7.16083823431991	22.7448714457113	3.31157025401709	28.0055499532597	22.0220525994244	2.51293639635794	0	0	4.0818654909206	9.70763376197031
v67	atcc3	3.4711050612548	5.56861774532855	30.1385967083282	2.87711916841975	23.0355154065091	18.7229303304047	2.83380769706719	0	0	2.14701150847667	11.2052963742111
v67	atcc4	0.219046804141354	4.19953794814751	28.5753401215025	3.89492598613844	27.2216993240353	20.0034226063147	3.49276974416018	0	0	1.41182510481732	10.9814323607427
v67	atcc5	0.857572987795043	5.71536104091618	31.2704984138932	3.04317436421313	22.361417280499	21.6140652723265	3.02973278133233	0	0	2.13452336147105	9.97365449755363
v8	atcc1	0.0573795213959408	12.5433105041306	0.0360461095948859	5.94834371804586	30.0139034994152	0.222161736686848	11.9886417973032	8.4075711542847	0	0.783451157521499	29.9991908016213
v8	atcc2	0.035992724327868	12.9008207626601	0.021852725484777	5.59686863298348	29.6104430318728	0.223669072608894	11.752267220269	8.27189932320824	0	0.662009036744715	30.92417746984
v8	atcc3	0.0420698359276399	14.6683494601038	0	6.66105735520965	23.5520964801571	0.12620950778292	13.1047538914598	9.78824849249755	0	0.364605244706212	31.6926097321554
v8	atcc4	1.42256493776278	13.4761437854187	0	6.477988466588	20.3031259867382	0.829275588719193	14.7773918534891	9.98454456317618	0	0.314094361258372	32.4148704568494
v8	atcc5	0.947938609690039	13.5179055070719	0	6.84321396328619	22.2991272946133	1.36322600060187	12.7234426722841	9.38007824255191	0	0.409268733072525	32.5157989768282
v9	atcc1	0.220443841521117	0	0	0	0.0311794019024905	0	0	0	0	0	99.7483767565764
v9	atcc2	0.331948972149035	0	0	0	0	0	0	0	0	0	99.668051027851
v9	atcc3	0	0	0	0	0	0	0	0	0.035106196243637	0	99.9648938037564
v9	atcc4	0.021225413895571	0	0	0	0	0	0	0	0	0	99.9787745861044
v9	atcc5	0.0566294170945334	0	0	0	0	0	0	0	0	0	99.9433705829055
