Region	SampleID	Unassigned; p__unassigned	k__Bacteria; p__Actinobacteria	k__Bacteria; p__Bacteroidetes	k__Bacteria; p__DeinococcusThermus	k__Bacteria; p__Firmicutes	k__Bacteria; p__Proteobacteria
v2	atcc1	0.0891756209265457	8.50691386295579	14.2537872115554	11.8295314426634	32.0999207327814	33.2206711291175
v2	atcc2	0.0499277088382446	8.53139724773505	15.7095455538335	10.1758911575947	33.5815849967235	31.951653335275
v2	atcc3	1.35653549535298	8.06802452046668	18.3112517302749	8.88273680047459	29.1991299189243	34.1823215345066
v2	atcc4	3.8105119196397	8.6939093117027	14.3884552807187	8.41566648588743	30.0148553373105	34.676601664741
v2	atcc5	0.959262052154394	8.58074811917998	17.1527278466584	10.1134629886186	28.8164424881188	34.3773565052698
v3	atcc1	0.854316239023756	1.12825180855651	14.4896688134364	0	56.4462976777929	27.0814654611905
v3	atcc2	0.784440221494504	1.14089771189353	14.7162014019882	0	55.6494421732453	27.7090184913784
v3	atcc3	0.854782030582202	1.06372874916896	13.296609364612	0	55.0099724570235	29.7749073986134
v3	atcc4	0.774910000610165	0.703724042548864	13.2527915064983	0	56.1921614090752	29.0764130412675
v3	atcc5	0.924237661112858	0.840406580739809	14.3539767368752	0	54.4461909252855	29.4351880959866
v4	atcc1	0.0109156686626747	6.01609281437126	20.7826534431138	2.04200973053892	46.4212200598802	24.7271082834331
v4	atcc2	0.0174481421084066	5.67131726762095	19.9620167367948	1.9293618677565	48.5622059820284	23.8576500036909
v4	atcc3	0	6.50817935742027	21.6958926680005	1.15923267035424	40.3789572790397	30.2577380251854
v4	atcc4	1.69881352706047	5.60085019986041	18.7472241609035	0.929509548886492	44.4530803883002	28.5705221749889
v4	atcc5	1.22645641699518	5.65484012264564	20.0306614104249	1.29872974156811	43.4800700832238	28.3092422251424
v67	atcc1	0.488726468246994	7.23423721454342	24.299345607923	3.33295427525819	48.4379361321603	16.2068003018681
v67	atcc2	0.452681864018785	7.16083823431991	22.7448714457113	3.31157025401709	50.0276025526841	16.3024356492488
v67	atcc3	3.4711050612548	5.56861774532855	30.1385967083282	2.87711916841975	41.7584457369137	16.186115579755
v67	atcc4	0.219046804141354	4.19953794814751	28.5753401215025	3.89492598613844	47.22512193035	15.8860272097202
v67	atcc5	0.857572987795043	5.71536104091618	31.2704984138932	3.04317436421313	43.9754825528254	15.137910640357
v8	atcc1	0.0573795213959408	12.5433105041306	0.0360461095948859	5.94834371804586	30.236065236102	51.1788549107307
v8	atcc2	0.035992724327868	12.9008207626601	0.021852725484777	5.59686863298348	29.8341121044817	51.610353050062
v8	atcc3	0.0420698359276399	14.6683494601038	0	6.66105735520965	23.67830598794	54.950217360819
v8	atcc4	1.42256493776278	13.4761437854187	0	6.477988466588	21.1324015754574	57.4909012347731
v8	atcc5	0.947938609690039	13.5179055070719	0	6.84321396328619	23.6623532952152	55.0285886247367
v9	atcc1	0.220443841521117	0	0	0	0.0311794019024905	99.7483767565764
v9	atcc2	0.331948972149035	0	0	0	0	99.668051027851
v9	atcc3	0	0	0	0	0	100
v9	atcc4	0.021225413895571	0	0	0	0	99.9787745861044
v9	atcc5	0.0566294170945334	0	0	0	0	99.9433705829055
