# Constructed from biom file
#OTU ID	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
L35148	0.0	0.0	125.0	83.0	245.0	107.0
KF814111	0.0	0.0	12.0	0.0	312.0	118.0
X95624	239.0	174.0	0.0	0.0	8.0	0.0
KF318815	0.0	0.0	0.0	0.0	309.0	102.0
AB470343	0.0	0.0	0.0	0.0	213.0	191.0
KP233308	0.0	0.0	0.0	0.0	389.0	118.0
AF537605	0.0	0.0	151.0	221.0	0.0	0.0
EF564278	198.0	112.0	31.0	0.0	18.0	0.0
AQOB01000017	198.0	157.0	0.0	0.0	0.0	0.0
JN713314	156.0	80.0	60.0	47.0	0.0	0.0
JPJG01000126	0.0	0.0	0.0	0.0	227.0	96.0
CP000140	0.0	0.0	0.0	0.0	283.0	0.0
AY608697	0.0	0.0	0.0	0.0	171.0	111.0
X82062	0.0	0.0	175.0	91.0	0.0	0.0
AB916501	0.0	0.0	0.0	0.0	193.0	67.0
ABDX01000067	0.0	0.0	0.0	0.0	202.0	38.0
CAHB01000032	54.0	60.0	0.0	0.0	116.0	5.0
GU938836	0.0	0.0	0.0	0.0	371.0	0.0
HM122052	0.0	0.0	0.0	0.0	225.0	85.0
HQ457025	0.0	0.0	119.0	101.0	0.0	0.0
AB603520	0.0	0.0	0.0	0.0	131.0	87.0
AB910737	0.0	0.0	0.0	0.0	160.0	57.0
AB266102	0.0	0.0	127.0	86.0	0.0	0.0
AJ867037	0.0	0.0	0.0	0.0	161.0	37.0
AB916502	0.0	0.0	0.0	0.0	129.0	107.0
AF338413	151.0	115.0	0.0	0.0	0.0	0.0
X78719	57.0	43.0	0.0	16.0	64.0	5.0
GU968166	111.0	70.0	0.0	0.0	0.0	0.0
ACWG01000065	0.0	0.0	0.0	0.0	140.0	36.0
HG798414	91.0	84.0	0.0	0.0	0.0	0.0
FJ751783	0.0	0.0	118.0	56.0	0.0	0.0
X72865	105.0	52.0	8.0	7.0	0.0	0.0
AJ315980	0.0	0.0	0.0	0.0	77.0	82.0
JF803601	76.0	55.0	27.0	0.0	0.0	0.0
HF558387	0.0	0.0	48.0	69.0	38.0	0.0
JX629262	0.0	0.0	0.0	0.0	147.0	0.0
HF545616	0.0	0.0	0.0	0.0	111.0	23.0
