"Feature","v2.fresh.N","v2.frozen.N","v2.fresh.mean","v2.frozen.mean","v2.tt.log.Pval.fresh.vs.frozen","v3.fresh.N","v3.frozen.N","v3.fresh.mean","v3.frozen.mean","v3.tt.log.Pval.fresh.vs.frozen","v4.fresh.N","v4.frozen.N","v4.fresh.mean","v4.frozen.mean","v4.tt.log.Pval.fresh.vs.frozen","v67.fresh.N","v67.frozen.N","v67.fresh.mean","v67.frozen.mean","v67.tt.log.Pval.fresh.vs.frozen","glm.std.Type.Coef","glm.std.Type.Pval","glm.std.Type.adjPval","glm.log.Type.Coef","glm.log.Type.Pval","glm.log.Type.adjPval"
"Unassigned.p.unassigned.c.unassigned.o.unassigned","3","3","24.3137393753292","31.5505586999235","0.21226661166675","3","3","12.7226382941679","14.3909599952423","0.431401825288132","3","3","10.8589797314942","12.7037025920635","0.0998818433760876","3","3","24.453022847454","28.3477330127927","0.174214452525","3.66114351289418","0.0774224291911887",0.812935506507481,"0.0904511976552321","0.0605743958665227",0.636031156598488
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Actinomycetales","3","3","1.69058627328275","0.900002582902318","0.538123733856235","3","3","0.166231219571412","0.0824662720271264","0.686219596480224","3","3","3.31122119359954","2.4871414308834","0.975373022717232","3","3","2.39877805665873","2.20843603349713","0.574444694414434","-0.472192605950615","0.384459631351887",0.906541464696893,"-0.0447135742248249","0.642381998908462",0.945141104324697
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Bifidobacteriales","3","3","0.0209097313262932","0.01","0.227820897082941","3","3","0.01","0.01","NaN","3","3","0.0155416154291822","0.0204410600756306","0.251768948131445","3","3","0.0177832317730692","0.0161804273102906","0.183505741151308","-0.00190327278565584","0.431686411760425",0.906541464696893,"-0.0512749425162354","0.362242127973061",0.845231631937142
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Corynebacteriales","3","3","1.64332477783854","2.22216344157237","0.947749907285376","3","3","0.450357211711033","0.47048735501437","0.467527145201614","3","3","1.50415262606141","1.9986086744486","0.829173847944953","3","3","2.48495591736212","2.89601858138476","0.758894065126091","0.376121879861748","0.251661449878448",0.880815074574568,"-0.140820904961092","0.279256759909674",0.841704421697065
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Micrococcales","3","3","0.01187659510584","0.0112773594425603","0.872196481075019","3","3","0.0157129915934254","0.0216107717448601","0.673901972384021","3","3","0.0156247764360796","0.0145124317494698","0.422713580239398","3","3","0.015462583098938","0.0162220926663331","0.221197665780757","0.00123642734223511","0.545810069288241",0.928927152185836,"0.00882095218561471","0.855127665817583",0.945141104324697
"k.Bacteria.p.Actinobacteria.c.Actinobacteria.o.Propionibacteriales","3","3","0.0196037686960034","0.0303508112685714","0.70199718009528","3","3","0.01","0.01","NaN","3","3","0.0104101983514128","0.01","0.422649730810374","3","3","0.0357349551779318","0.0296773025963639","0.543686498419236","0.0010697979098968","0.814404500013488",0.928927152185836,"-0.0190226789910176","0.803292769248226",0.945141104324697
"k.Bacteria.p.Actinobacteria.c.Coriobacteriia.o.Coriobacteriales","3","3","0.362103723785303","0.379868996284635","0.710676392779822","3","3","0.350842141946954","0.347452050152638","0.987196200293358","3","3","0.82327587919659","0.865845918726813","0.984669871395653","3","3","0.906153554174499","0.870620919164289","0.462228220658576","0.00535314630625693","0.952661360428705",0.970141311538584,"-0.00384173562540023","0.945678104959775",0.945678104959775
"k.Bacteria.p.Bacteroidetes.c.Bacteroidia.o.Bacteroidales","3","3","24.7258963368669","23.0259051963795","0.723625502391272","3","3","21.4817828549996","20.2204863549465","0.666770727728188","3","3","29.0510978688421","27.1340059033785","0.651445345998149","3","3","37.0949968093123","34.6832241935154","0.760855273816116","-1.82253805545027","0.318575369837417",0.906541464696893,"-0.0326649136283141","0.280650715986884",0.841704421697065
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Bacillales","3","3","0.446262282357042","0.313578612104262","0.932489184919912","3","3","0.608102101677546","0.462907854015703","0.94696929018797","3","3","0.574279429512784","0.29973976942574","0.445947880031014","3","3","0.256003345163487","0.203946203446914","0.972968705714683","-0.15111867992956","0.128148528898976",0.880815074574568,"-0.0385768362578173","0.632446165113586",0.945141104324697
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Lactobacillales","3","3","0.533433993651836","0.510547966289327","0.475901447118881","3","3","2.09924838547389","2.18188324159375","0.533176449663574","3","3","1.3406665560081","1.45823230395688","0.536472169025205","3","3","1.0777947015223","1.16208821765986","0.551754560978045","0.0654020232109201","0.73069444760761",0.928927152185836,"-0.159103991720513","0.0471323262853845",0.636031156598488
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales","3","3","33.8567143273772","30.6013803770826","0.726327163358986","3","3","48.5038271860095","47.3999353149262","0.923990058214017","3","3","41.7419204654724","44.0213009472406","0.513938431032972","3","3","22.5864696559039","21.5778170648217","0.952625173265342","-0.772124482672988","0.765439868841017",0.928927152185836,"-0.00669531350827867","0.835172390094213",0.945141104324697
"k.Bacteria.p.Firmicutes.c.Erysipelotrichia.o.Erysipelotrichales","3","3","0.710013603730004","0.913229056002818","0.529853741611166","3","3","1.40192751046154","1.61129173213123","0.994350765208109","3","3","0.01","0.0110835087263084","0.422649730810374","3","3","0.492294689785177","0.71426871380214","0.419730654699179","0.158909301671444","0.417327926915337",0.906541464696893,"0.100308530117174","0.320649303503644",0.841704421697065
