	shannon_entropy
Patient1-fresh	5.546570758261034
Patient1-frozen	5.55667055266419
Patient2-fresh	4.947440419045312
Patient2-frozen	5.122545956929508
Patient3-fresh	4.81864233281408
Patient3-frozen	5.102055328479414
