	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
Patient1-fresh	0.0	0.14144524762240462	0.4226568206780584	0.3919437914966237	0.3641296093708348	0.41759589454638896
Patient1-frozen	0.14144524762240462	0.0	0.44542879620105763	0.4061547047921622	0.372538301854823	0.4333586804904824
Patient2-fresh	0.4226568206780584	0.44542879620105763	0.0	0.12786011745428677	0.3681346035422321	0.39160233240192055
Patient2-frozen	0.3919437914966237	0.4061547047921622	0.12786011745428677	0.0	0.37310972166263584	0.4074827187190982
Patient3-fresh	0.3641296093708348	0.372538301854823	0.3681346035422321	0.37310972166263584	0.0	0.20375777057382605
Patient3-frozen	0.41759589454638896	0.4333586804904824	0.39160233240192055	0.4074827187190982	0.20375777057382605	0.0
