	shannon_entropy
Patient1-fresh	5.590950992644604
Patient1-frozen	5.754364361272483
Patient2-fresh	4.897149597241203
Patient2-frozen	5.24394053864911
Patient3-fresh	5.187289118695511
Patient3-frozen	5.051625754230248
