	atcc1	atcc2	atcc3	atcc4	atcc5
atcc1	0.0	0.0379	0.1133	0.1011	0.0989
atcc2	0.0379	0.0	0.1075	0.0993	0.0989
atcc3	0.1133	0.1075	0.0	0.0767	0.0632
atcc4	0.1011	0.0993	0.0767	0.0	0.0719
atcc5	0.0989	0.0989	0.0632	0.0719	0.0
