Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned; f__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
v8	atcc1	0.0576948681154489	1.44902880305339	5.84863233575455	5.31458496678847	0	0.0155332337233901	5.98103466130154	1.90614968119887	3.66658283651641	4.36483867627262	0	20.24128289717	0.223382694498277	12.0545290471471	7.92490791011435	0.787756853114783	12.2276136514934	10.6950012574523	7.24144562628519
v8	atcc2	0.0359985086332138	1.47015337936	5.86325709363469	5.56948354996722	0	0.0057854746017665	5.59776809246474	1.98120363584937	3.74063074529769	4.41303146012522	0.0102852881809182	19.4700505264782	0.223705017934971	11.7541558992556	8.27322868052609	0.66211542664661	12.3642020544863	11.1582520152737	7.40669315128373
v8	atcc3	0.0420875420875421	1.64141414141414	5.99747474747475	7.03563411896745	0	0	6.6638608305275	0.820707070707071	1.69051627384961	3.75982042648709	0	17.2909652076319	0.0841750841750842	13.1102693602694	9.79236812570146	0.364758698092031	13.2716049382716	10.5569584736251	7.87738496071829
v8	atcc4	1.42256493776278	1.59872368005584	5.75673474814286	6.12068535722002	0	0	6.477988466588	0.668073720771775	1.06193807854021	3.27223173183986	0	15.3008824555864	0.829275588719193	14.7773918534891	9.98454456317618	0.314094361258372	13.4528775364366	11.157828261845	7.8041646585678
v8	atcc5	0.947938609690039	1.55883238037918	5.79596749924767	6.16310562744508	0	0	6.84321396328619	0.671080349082155	1.40535660547698	3.58712007222389	0	16.6355702678303	1.36322600060187	12.7234426722841	9.38007824255191	0.409268733072525	13.8007824255191	10.9298826361721	7.78513391513692
v9	atcc1	0.221685580535676	0	0	0	0	0	0	0	0.00990158920506741	0	0	0	0	0	0	0	53.9653114324849	45.8031013977743	0
v9	atcc2	0.331948972149035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.0513106774438	42.6167403504071	0
v9	atcc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.7734855136084	48.2265144863916	0
v9	atcc4	0.021225413895571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.9621715956795	48.016602990425	0
v9	atcc5	0.0566294170945334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.881002718212	46.0623678646934	0
