	atcc1	atcc2	atcc3	atcc4	atcc5
atcc1	0.0	0.0391	0.08	0.1903	0.1832
atcc2	0.0391	0.0	0.112	0.203	0.1969
atcc3	0.08	0.112	0.0	0.1698	0.1586
atcc4	0.1903	0.203	0.1698	0.0	0.0298
atcc5	0.1832	0.1969	0.1586	0.0298	0.0
