	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
Patient1-fresh	0.0	0.14610108260767526	0.4843518219823098	0.48652171245054926	0.5166388783986922	0.5111725712171253
Patient1-frozen	0.14610108260767526	0.0	0.46931349459738925	0.4708377613496775	0.4881500879362518	0.49329015823731115
Patient2-fresh	0.4843518219823098	0.46931349459738925	0.0	0.08616787610486608	0.4039851392845137	0.47638479495201586
Patient2-frozen	0.48652171245054926	0.4708377613496775	0.08616787610486608	0.0	0.4049335110123838	0.48203791999687323
Patient3-fresh	0.5166388783986922	0.4881500879362518	0.4039851392845137	0.4049335110123838	0.0	0.2666038994052871
Patient3-frozen	0.5111725712171253	0.49329015823731115	0.47638479495201586	0.48203791999687323	0.2666038994052871	0.0
