	faith_pd
Patient1-fresh	8.115304749236723
Patient1-frozen	8.145966831381621
Patient2-fresh	9.425251915771646
Patient2-frozen	9.11215740096426
Patient3-fresh	8.915443202034758
Patient3-frozen	7.923226397097212
