Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned; f__unassigned; g__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium_1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Family_XI; g__Gemella	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family_XI; g__Anaerococcus	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family_XI; g__Ezakiella	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family_XI; g__Finegoldia	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family_XI; g__Peptoniphilus	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unassigned	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus_1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Uruburuella	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Cronobacter	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__EscherichiaShigella	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pectobacterium	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unassigned	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
v4	atcc2	0.0174481421084066	1.84010791004812	0	3.60371242777476	0	0	0.227496929798071	12.0365337252454	0	7.92548301154933	1.9293618677565	8.70259641776221	0	10.4084878500534	1.89782099548362	6.32763584385255	10.113211598988	11.1124532758887	0	0	0	0	0	0	0	0	0	0	2.95746008737493	0.0093951534429882	4.85662324763611	0	0	3.50908981095609	0	0	4.28284780522505	0	0	5.74782065994242	2.49441323911337
v4	atcc3	0	1.04154407437919	0	5.37248440626103	0	0	0.09415087678004	13.7519124396846	0	7.94398022831588	1.15923267035424	5.60197716841238	0	9.35035895021772	1.60056490526068	5.72555019418618	10.2565611392256	7.80863834294457	0	0	0	0	0	0	0	0.035306578792515	0	0	4.38390020007061	0	7.19665764387431	0	0	3.03636577615629	0	0	4.78992585618454	0	0	7.94398022831588	2.90690832058374
v4	atcc4	1.69881352706047	1.55764228158112	0	3.91948480426369	0	0	0.123723114015608	11.5633525791511	0	7.18387158175243	0.929509548886492	6.34160269018463	0	11.6537656240086	1.91770826724193	5.51678193008058	10.3546729268447	8.66854894993972	0	0	0	0	0	0	0	0	0	0	4.41279106655669	0	6.61442801852674	0	0	2.19687837066176	0	0	5.23126705158302	0	0	7.14897531882495	2.96618234883573
v4	atcc5	1.22645641699518	1.33596145422689	0	4.15900131406045	0	0	0.1598773543583	12.4989049496277	0	7.5317564607972	1.29872974156811	5.99868593955322	0	11.3622426631625	1.75865089794131	5.32851511169514	10.1423565484012	8.88961892247043	0	0	0	0	0	0	0	0	0	0	4.32106876916338	0	6.37757336837495	0	0	2.58650897941305	0	0	5.05694261936049	0	0	7.06964520367937	2.89750328515112
v67	atcc1	0.488726468246994	1.16508668368982	0.00103379475039026	3.7250209343437	0.000775346062792693	0.000516897375195129	2.34180355832153	15.0998645728877	0	9.1994810350353	3.33295427525819	7.63612492375764	0	5.83344532776463	1.6553638440624	7.31487320507386	5.7199863539093	20.2740072985909	0	0.00258448687597564	0	0.00155069212558539	0	0	0	0	0	0	2.47542152980947	0	0	0	0	3.62215835667986	0	0	8.16594473333264	0	0	0.144214367679441	1.79906131436665
v67	atcc2	0.452681864018785	1.1604113148384	0	3.77455707103793	0	0	2.22586984844358	14.203537543152	0	8.54133390255931	3.31157025401709	7.82624377102394	0	5.8995855936757	1.5678249924553	6.95841951463671	5.75347608146801	22.0220525994244	0	0	0	0	0	0	0	0	0	0	2.51293639635794	0	0	0	0	4.0818654909206	0	0	7.93076543718763	0	0	0.193585902824293	1.58328242195838
v67	atcc3	3.4711050612548	0.897166192302933	0	2.61106298725405	0	0	2.06038856577156	21.0246256651405	0.0371241183021903	9.07684692488553	2.87711916841975	5.93367157530009	0	5.89036010394753	1.36740502413068	5.62430392278183	4.21977478034897	18.6796188590521	0	0	0	0	0.0433114713525554	0	0	0	0	0	2.83380769706719	0	0	0	0	2.14701150847667	0	0	8.98403662913006	0	0	0.0866229427051108	2.13463680237594
v67	atcc4	0.219046804141354	0.742705570291777	0	2.16650979721058	0	0	1.29032258064516	20.6109352271755	0	7.96440489432703	3.89492598613844	7.13955677248225	0	6.96158124411739	1.74895182681612	5.58227089928981	5.78933858132968	20.0034226063147	0	0	0	0	0	0	0	0	0	0	3.49276974416018	0	0	0	0	1.41182510481732	0	0	8.33746898263027	0	0	0.0342260631470865	2.60973731496535
v67	atcc5	0.857572987795043	0.865637937523523	0	2.90069358567665	0	0	1.94902951771601	21.9178450454325	0	9.35265336846067	3.04317436421313	6.38206355180386	0	5.16425614280338	1.3307167051992	5.1965159417173	4.28786493897521	21.6140652723265	0	0	0	0	0	0	0	0	0	0	3.02973278133233	0	0	0	0	2.13452336147105	0	0	8.01387171353299	0	0	0.0833378138609603	1.87644497015969
v8	atcc1	0.0573795213959408	1.44110874890574	0	5.81666507279107	0	0	5.28553668243377	0.0205977769113634	0	0.0154483326835225	5.94834371804586	1.89573111073512	0	3.646542148201	4.34098148406983	0	20.1306487564092	0.222161736686848	0	0	0	0	0	0	0	0	0	0	11.9886417973032	0	7.88159220815525	0.525978946129457	0	0.783451157521499	0	0	0	10.9845001728742	1.17628018861679	10.6365448700501	7.20186557008026
v8	atcc2	0.035992724327868	1.46991715246132	0	5.8623149749015	0	0	5.56858863529729	0.0160681805035125	0	0.0057845449812645	5.59686863298348	1.98088529247302	0	3.74002969399757	4.41232236626453	0.010283635522248	19.4669220436155	0.223669072608894	0	0	0	0	0	0	0	0	0	0	11.752267220269	0	8.27189932320824	0	0	0.662009036744715	0	0	0	11.1461754516766	1.21603990050583	11.1564590871988	7.40550303045884
v8	atcc3	0.0420698359276399	1.64072360117796	0	5.99495161968868	0	0	7.03267423923713	0	0	0	6.66105735520965	0.820361800588978	0	1.68980507642687	3.7582386762025	0	17.2836909269387	0.0841396718552798	0	0	0	0	0	0	0	0	0.0420698359276399	0	13.1047538914598	0	9.78824849249755	0	0	0.364605244706212	0	0	0	11.1975879960735	2.06843359977563	10.5525171785163	7.87407095778993
v8	atcc4	1.42256493776278	1.59872368005584	0	5.75673474814286	0	0	6.12068535722002	0	0	0	6.477988466588	0.668073720771775	0	1.06193807854021	3.27223173183986	0	15.3008824555864	0.829275588719193	0	0	0	0	0	0	0	0	0	0	14.7773918534891	0	9.98454456317618	0	0	0.314094361258372	0	0	0	11.6131819919233	1.83969554451332	11.157828261845	7.8041646585678
v8	atcc5	0.947938609690039	1.55883238037918	0	5.79596749924767	0	0	6.16310562744508	0	0	0	6.84321396328619	0.671080349082155	0	1.40535660547698	3.58712007222389	0	16.6355702678303	1.36322600060187	0	0	0	0	0	0	0	0	0	0	12.7234426722841	0	9.38007824255191	0	0	0.409268733072525	0	0	0	11.8988865482997	1.90189587721938	10.9298826361721	7.78513391513692
v9	atcc1	0.220443841521117	0	0	0	0	0	0	0	0	0	0	0.0213332749859146	0	0.00984612691657595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.538801945157073	0	53.6630327164917	0	0	45.5465420949276	0
v9	atcc2	0.331948972149035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.0513106774438	0	0	42.6167403504071	0
v9	atcc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035106196243637	0	0	0	51.7553098121818	0	0	48.2095839915745	0
v9	atcc4	0.021225413895571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.9621715956795	0	0	48.016602990425	0
v9	atcc5	0.0566294170945334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.881002718212	0	0	46.0623678646934	0
