	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
Patient1-fresh	0.0	0.1488095238095238	0.7298387096774194	0.7387755102040816	0.7683397683397684	0.8080357142857143
Patient1-frozen	0.1488095238095238	0.0	0.7401574803149606	0.744	0.7727272727272727	0.8122270742358079
Patient2-fresh	0.7298387096774194	0.7401574803149606	0.0	0.2033898305084746	0.6666666666666666	0.7162790697674418
Patient2-frozen	0.7387755102040816	0.744	0.2033898305084746	0.0	0.6639004149377593	0.7142857142857143
Patient3-fresh	0.7683397683397684	0.7727272727272727	0.6666666666666666	0.6639004149377593	0.0	0.3815028901734104
Patient3-frozen	0.8080357142857143	0.8122270742358079	0.7162790697674418	0.7142857142857143	0.3815028901734104	0.0
