#OTUID	taxonomy	confidence
LN611370	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter_baumannii	0.8
Y11332	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_radiodurans	1.0
af368b32a2e2ea15248a44edc2540b27	Unassigned	1.0
b1322758c90898ee2492814a69d6f576	Unassigned	1.0
b73bfc8a5a52231dffee50d662018a95	Unassigned	1.0
b87f467e20076f5e9959f2b3258e96bf	Unassigned	1.0
c8c6fd83e79463294ac071a0c2f9b2ea	Unassigned	1.0
cc42fdb95b88d0536dab3df1edce46e6	Unassigned	1.0
d23cf01e4cdeff7b08968a7adbf8d7c3	Unassigned	1.0
da17e2e71ac370f03c37f95dfc4a6369	Unassigned	1.0
ecfae507881cefee6d24f88231d955d1	Unassigned	1.0
efbacf2a08a5314019719883ae510da5	Unassigned	1.0
