	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
Patient1-fresh	0.0	0.20202020202020202	0.7741935483870968	0.7799352750809061	0.7836879432624113	0.8053435114503816
Patient1-frozen	0.20202020202020202	0.0	0.7682539682539683	0.7816455696202531	0.7854671280276817	0.8022388059701493
Patient2-fresh	0.7741935483870968	0.7682539682539683	0.0	0.25213675213675213	0.745819397993311	0.776595744680851
Patient2-frozen	0.7799352750809061	0.7816455696202531	0.25213675213675213	0.0	0.7303754266211604	0.7741935483870968
Patient3-fresh	0.7836879432624113	0.7854671280276817	0.745819397993311	0.7303754266211604	0.0	0.3617021276595745
Patient3-frozen	0.8053435114503816	0.8022388059701493	0.776595744680851	0.7741935483870968	0.3617021276595745	0.0
