	shannon_entropy
Patient1-fresh	5.35326760827763
Patient1-frozen	5.703977380555859
Patient2-fresh	4.907948120545493
Patient2-frozen	5.371416218496901
Patient3-fresh	5.522769429465854
Patient3-frozen	5.218759973201426
