	atcc1	atcc2	atcc3	atcc4	atcc5
atcc1	0.0	0.0445	0.1136	0.1117	0.0951
atcc2	0.0445	0.0	0.1053	0.1003	0.0879
atcc3	0.1136	0.1053	0.0	0.077	0.0498
atcc4	0.1117	0.1003	0.077	0.0	0.0711
atcc5	0.0951	0.0879	0.0498	0.0711	0.0
