	atcc1	atcc2	atcc3	atcc4	atcc5
atcc1	0.0	0.0451	0.0209	0.0224	0.0072
atcc2	0.0451	0.0	0.0593	0.0608	0.0389
atcc3	0.0209	0.0593	0.0	0.0017	0.0207
atcc4	0.0224	0.0608	0.0017	0.0	0.0222
atcc5	0.0072	0.0389	0.0207	0.0222	0.0
