	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
Patient1-fresh	0.0	0.16626772931016406	0.5400369474577804	0.6461129939501581	0.5628661815557017	0.5531654505530215
Patient1-frozen	0.16626772931016406	0.0	0.5242921828347663	0.6494388418077324	0.5409802849306551	0.5617132281931544
Patient2-fresh	0.5400369474577804	0.5242921828347663	0.0	0.4433413790184664	0.5174239776024605	0.5736233403994193
Patient2-frozen	0.6461129939501581	0.6494388418077324	0.4433413790184664	0.0	0.5739384461852959	0.5621049287507
Patient3-fresh	0.5628661815557017	0.5409802849306551	0.5174239776024605	0.5739384461852959	0.0	0.260365127508761
Patient3-frozen	0.5531654505530215	0.5617132281931544	0.5736233403994193	0.5621049287507	0.260365127508761	0.0
