Feature ID	Taxon	Consensus
59a84b297a72b2c78d2a78102f3d72fd	Unassigned	1.0
5a45ad22faae76411e6179cde32775c2	Unassigned	1.0
5ae7be38d7295e1690c4aa44d413340a	Unassigned	1.0
5b0a0670b6d422f40d10b571d6a25021	Unassigned	1.0
5b0d0e565bf6031b14928af139fd613f	Unassigned	1.0
5bba9e0ab9f2e7887ce54cb71acb8dc9	Unassigned	1.0
5c57995262955aeb70fb1943d88d9da3	Unassigned	1.0
5cb3eda0608b118f0dc2ab8c5a369c86	Unassigned	1.0
5e46f8c3127a89543487474dbfaa28b0	Unassigned	1.0
5ebdc9fbae4e5a130b7a82d1dfc326f9	Unassigned	1.0
5f78bd1629efcdd53842832fdb462172	Unassigned	1.0
5ff0107deb09924fa93bb980c31b59a8	Unassigned	1.0
5ffff12dd8acb80394dd3f17b693bea3	Unassigned	1.0
6006fb739ef6c0faf6d0ee6599a52657	Unassigned	1.0
60e546201a50e869a64606ddb091a5df	Unassigned	1.0
655694cbd8e61b50d24ecdf559f93c47	Unassigned	1.0
658bf13a8ed00e4983d2707059c394c3	Unassigned	1.0
658f1c895a13e8029d61e0b3a94a91c6	Unassigned	1.0
66ed3bd7307dc2139207392cfca10e8a	Unassigned	1.0
67f21dc9ca47f8b4150cd6f7c7f16c53	Unassigned	1.0
68402abe75daa5bc6a5f0221ccc0b1d5	Unassigned	1.0
6a664606b077708f82e6e138c7365ce2	Unassigned	1.0
6abfef97c70f5b7b926bc79148e46261	Unassigned	1.0
6c4ecf8209ae7ee4fd3b671d8b8d6e47	Unassigned	1.0
6d24544d3245c79f9f0b2ab8088852a8	Unassigned	1.0
6ee65297a3a01ceaba896eb44bd8d0f7	Unassigned	1.0
7296ce612f4b227da7da565842e66cd7	Unassigned	1.0
736115537934ac2c427779414a1670af	Unassigned	1.0
762c4213779f892963f1e9b12b9d5063	Unassigned	1.0
764b3f6e8d19aede05f882a419a6ea05	Unassigned	1.0
7790bb4bccfa348bb29327aa1e023bc0	Unassigned	1.0
77f8bba234caca33d0e0f49cc3c02f69	Unassigned	1.0
77fd859c0708c82afbb9ba7e6bb5ddf7	Unassigned	1.0
7a9bb69fafc71aed6788ed1bc5f85bd1	Unassigned	1.0
7b5a1bb8662e820228a84042c2bb35e9	Unassigned	1.0
7c32287e5fbf12764fe2bfa2c8dba77f	Unassigned	1.0
7d3d90275b722d17052534221b9f3c20	Unassigned	1.0
7d4b422961f70bc369364dbcf93058eb	Unassigned	1.0
7dc86a49668eac529e45b13c5bd4315e	Unassigned	1.0
7e9c4b5d85a92993ea33b0c05c434c73	Unassigned	1.0
7ee2071989ea733567785309086a467a	Unassigned	1.0
8101f9488a1d7c3b4b03e4b8ed72e46d	Unassigned	1.0
8142d5b53ac9e22c0f9af4f476008239	Unassigned	1.0
829ccd1a37e6dbb97f8cba01a0027b27	Unassigned	1.0
83ad26382134530d9e425f1d2b57b8d1	Unassigned	1.0
8421143e9889f221ddfff6cdf73303e3	Unassigned	1.0
844a8210e39b84c5aee762d1a0800231	Unassigned	1.0
87bbdaebf91a510f17f08691b9a899f4	Unassigned	1.0
88f8cfd29b4d0e002acb02b8cabb71d9	Unassigned	1.0
89b4109553a2fb16af52ddd3c9012fa9	Unassigned	1.0
8a3af12893e159d4356ecb0584c97eb1	Unassigned	1.0
8c0ca5fd7df365a0f3a9e5d1e4f75c7c	Unassigned	1.0
8dcf12d6f481ed92b0132e2bfdc9997e	Unassigned	1.0
8e09734ff0443851ab5b73b5d2b81207	Unassigned	1.0
8e451929db9cee5427c5cb2e42b282cf	Unassigned	1.0
8ed00085e07b6fa27921329a02ec4fb0	Unassigned	1.0
8efbccd1c8791375dc2916a755860231	Unassigned	1.0
9520cc33b913c8de6a1b9091a4ce4dd0	Unassigned	1.0
97503df2155bc211e3c0742721a9af6f	Unassigned	1.0
9770bb011fbdb62a0836772aa7a0fe8f	Unassigned	1.0
97c789eb69321cb616c3042b77e5c1ec	Unassigned	1.0
9bcf6a9584a7fe265b14cefe4a28545a	Unassigned	1.0
9beb26a5a6013aa14b0bd68df4fb8fc2	Unassigned	1.0
9dc641a4d0f72102c7cbc1877751d26c	Unassigned	1.0
9e1f13bebc92262107c7dcd8fb378527	Unassigned	1.0
9eea14dc4e2b7f3c463602fdbdbcccc4	Unassigned	1.0
9f453e54c195d3db3b6d9ead6257f69c	Unassigned	1.0
AB030220	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Coprobacillus; s__Coprobacillus_cateniformis	0.8
AB050111	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_vulgatus	1.0
AB109770	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family_XI; g__Finegoldia; s__Finegoldia_magna	0.8
AB233029	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; s__Clostridium_glycyrrhizinilyticum	1.0
AB238924	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__Parabacteroides_distasonis	1.0
AB238928	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__Parabacteroides_merdae	1.0
AB242143	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_dorei	1.0
AB266102	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia; s__Adlercreutzia_equolifaciens	0.7142857142857143
AB271048	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium; s__Microbacterium_ginsengisoli	1.0
AB294142	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_vulgaris	1.0
AB355616	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_salivarius	0.9
AB355617	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_mitis	0.6
AB370250	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Parasutterella; s__Parasutterella_excrementihominis	1.0
AB439724	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia_glucerasea	1.0
AB470343	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__Parabacteroides_gordonii	1.0
AB510697	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_caccae	1.0
AB534168	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia_hansenii	1.0
AB547649	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Odoribacter; s__Odoribacter_splanchnicus	1.0
