	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
Patient1-fresh	0.0	0.09069558236264064	0.25957657067496265	0.22515472733645403	0.24102976380809918	0.19876613739886762
Patient1-frozen	0.09069558236264064	0.0	0.27543428715851787	0.23363988431924199	0.19866459025794406	0.2213495974666945
Patient2-fresh	0.25957657067496265	0.27543428715851787	0.0	0.07326426954034815	0.22976585729876908	0.2326760401549836
Patient2-frozen	0.22515472733645403	0.23363988431924199	0.07326426954034815	0.0	0.18034647990886657	0.2032555706724635
Patient3-fresh	0.24102976380809918	0.19866459025794406	0.22976585729876908	0.18034647990886657	0.0	0.1303372433238339
Patient3-frozen	0.19876613739886762	0.2213495974666945	0.2326760401549836	0.2032555706724635	0.1303372433238339	0.0
