# Constructed from biom file
#OTU ID	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
AF542227	5257.0	5319.0	9136.0	7142.0	1552.0	517.0
DQ174182	0.0	0.0	12671.0	4530.0	0.0	0.0
L16465	0.0	0.0	19473.0	10284.0	0.0	0.0
AB050111	13400.0	6537.0	0.0	0.0	1861.0	1200.0
AB109770	0.0	0.0	178.0	157.0	14247.0	1116.0
JN837491	1753.0	1403.0	6236.0	3983.0	337.0	27.0
DQ911241	2087.0	2032.0	2140.0	1692.0	2591.0	108.0
EF530560	0.0	0.0	0.0	0.0	5242.0	965.0
AJ438042	856.0	1513.0	1359.0	1172.0	413.0	22.0
L76597	102.0	65.0	0.0	0.0	3878.0	691.0
AJ576085	0.0	0.0	3724.0	968.0	43.0	0.0
DQ986463	843.0	1074.0	113.0	97.0	1633.0	705.0
AY033434	2517.0	1186.0	140.0	81.0	140.0	131.0
AGXZ01000010	2767.0	1285.0	0.0	0.0	58.0	0.0
HM007585	0.0	0.0	161.0	121.0	4480.0	1066.0
AGXF01000021	1445.0	789.0	0.0	0.0	447.0	213.0
AB238924	1083.0	782.0	670.0	328.0	0.0	0.0
ATFI01000022	2072.0	770.0	0.0	0.0	0.0	0.0
X72865	1558.0	1040.0	263.0	139.0	128.0	71.0
AF542230	0.0	0.0	849.0	662.0	854.0	172.0
L76604	1358.0	1124.0	0.0	0.0	241.0	80.0
AB547706	0.0	0.0	735.0	732.0	580.0	416.0
JSRP01000008	0.0	0.0	0.0	0.0	1954.0	460.0
EU722739	0.0	0.0	0.0	0.0	1405.0	942.0
CQ889266	1520.0	775.0	446.0	261.0	0.0	0.0
AF542231	305.0	140.0	0.0	0.0	1742.0	443.0
KF830695	1420.0	498.0	301.0	161.0	0.0	0.0
AB595128	1413.0	795.0	0.0	0.0	6.0	0.0
AB242143	0.0	0.0	1306.0	787.0	9.0	0.0
AB698913	1003.0	725.0	481.0	354.0	30.0	0.0
FN401326	0.0	0.0	144.0	97.0	860.0	917.0
Y07839	333.0	353.0	104.0	96.0	1048.0	36.0
FN401324	905.0	982.0	0.0	0.0	0.0	0.0
JNHQ01000190	934.0	710.0	0.0	0.0	172.0	60.0
D14140	804.0	1012.0	229.0	182.0	1603.0	155.0
JX101687	1926.0	1539.0	0.0	0.0	0.0	0.0
JN873344	1332.0	473.0	0.0	0.0	0.0	0.0
DQ518919	0.0	0.0	805.0	816.0	0.0	0.0
AB534168	937.0	633.0	0.0	0.0	0.0	0.0
AF537603	41.0	40.0	549.0	521.0	219.0	35.0
ASSQ01000021	0.0	0.0	6.0	0.0	911.0	461.0
KF148833	792.0	554.0	0.0	0.0	13.0	0.0
DQ789120	742.0	577.0	0.0	0.0	0.0	0.0
EF036467	2265.0	1221.0	279.0	229.0	0.0	34.0
AJ413954	0.0	0.0	716.0	565.0	39.0	0.0
AY169419	391.0	210.0	307.0	219.0	85.0	0.0
AB698910	589.0	431.0	71.0	94.0	0.0	0.0
AB547676	0.0	0.0	106.0	82.0	1741.0	52.0
AM230650	1439.0	797.0	0.0	0.0	0.0	0.0
AB510697	0.0	0.0	320.0	202.0	427.0	221.0
DM464569	0.0	0.0	0.0	0.0	567.0	564.0
FJ715928	410.0	444.0	100.0	94.0	69.0	0.0
JQ904752	0.0	0.0	0.0	0.0	886.0	159.0
HM007565	695.0	595.0	0.0	0.0	0.0	0.0
AJ133124	414.0	279.0	183.0	133.0	0.0	0.0
EF025909	571.0	375.0	16.0	0.0	152.0	82.0
GQ301042	482.0	922.0	0.0	0.0	0.0	0.0
GU561405	0.0	0.0	0.0	0.0	785.0	122.0
FR798912	0.0	0.0	474.0	403.0	0.0	0.0
X82050	137.0	79.0	373.0	265.0	19.0	0.0
AB238928	309.0	219.0	190.0	110.0	274.0	81.0
ACEP01000116	599.0	316.0	47.0	0.0	50.0	17.0
JNHN01000175	0.0	0.0	202.0	150.0	310.0	120.0
DQ911243	0.0	0.0	0.0	0.0	968.0	240.0
CP000140	287.0	186.0	80.0	48.0	110.0	42.0
AJ132842	0.0	0.0	445.0	275.0	0.0	0.0
AF028352	317.0	298.0	13.0	7.0	69.0	0.0
KM095956	0.0	0.0	0.0	0.0	655.0	0.0
AGYN01000029	84.0	45.0	38.0	34.0	179.0	264.0
AF338413	331.0	234.0	0.0	0.0	0.0	0.0
AZJE01000037	259.0	235.0	322.0	238.0	0.0	0.0
AY319392	267.0	180.0	45.0	65.0	0.0	0.0
CQ889264	458.0	242.0	71.0	63.0	0.0	0.0
AY974070	0.0	0.0	0.0	0.0	338.0	207.0
JN037416	400.0	238.0	548.0	394.0	183.0	71.0
CP003723	176.0	336.0	0.0	0.0	0.0	0.0
AY974071	53.0	33.0	0.0	0.0	302.0	115.0
AGYN01000030	0.0	0.0	0.0	0.0	265.0	230.0
FR749933	482.0	244.0	118.0	64.0	0.0	0.0
HM192792	0.0	0.0	0.0	0.0	342.0	119.0
AF542229	0.0	0.0	203.0	206.0	0.0	0.0
ABIK02000013	126.0	115.0	83.0	60.0	0.0	0.0
AM084228	50.0	69.0	127.0	118.0	20.0	0.0
AB030220	28.0	21.0	18.0	8.0	97.0	168.0
L34420	0.0	0.0	194.0	138.0	0.0	0.0
JN787170	0.0	0.0	189.0	134.0	0.0	0.0
AB554232	0.0	0.0	155.0	92.0	57.0	17.0
LC010692	194.0	123.0	0.0	0.0	0.0	0.0
L35148	0.0	0.0	0.0	58.0	205.0	111.0
CP002544	0.0	0.0	0.0	0.0	217.0	96.0
ATFP01000001	0.0	0.0	194.0	113.0	26.0	0.0
DQ358131	0.0	0.0	0.0	0.0	305.0	0.0
HM126553	126.0	119.0	0.0	24.0	19.0	0.0
FJ939584	0.0	0.0	137.0	149.0	0.0	0.0
AB649278	0.0	0.0	0.0	0.0	142.0	142.0
AB370250	28.0	14.0	154.0	91.0	5.0	0.0
KC589366	0.0	0.0	134.0	129.0	0.0	0.0
HM626178	49.0	0.0	183.0	199.0	51.0	0.0
X85101	36.0	45.0	166.0	183.0	27.0	23.0
ADLU01000111	320.0	157.0	0.0	0.0	0.0	0.0
M23732	0.0	0.0	0.0	0.0	134.0	113.0
EF564278	135.0	94.0	16.0	0.0	0.0	0.0
AY850119	48.0	53.0	25.0	31.0	88.0	31.0
EU483153	0.0	3.0	256.0	208.0	76.0	0.0
ABFZ02000011	0.0	0.0	139.0	83.0	22.0	0.0
BAEW01000035	50.0	83.0	17.0	17.0	74.0	0.0
EU083530	20.0	0.0	130.0	82.0	0.0	0.0
AF537605	0.0	0.0	102.0	130.0	0.0	0.0
GU968166	0.0	0.0	0.0	0.0	173.0	58.0
