Feature ID	Taxon	Consensus
0017c358ab865ee22564cf72384b8f89	Unassigned	1.0
002dd7ac7d62e0634eb61115f0b4bf91	Unassigned	1.0
059f366bf22540a060884af82a3ed187	Unassigned	1.0
069f282c57824a4b1bda5186371154c7	Unassigned	1.0
070185fd71c3720274ffa2525c11ec91	Unassigned	1.0
0856a0a11b1c46a6030e531f0d0ef535	Unassigned	1.0
085967fbcfd7eb9e3a39b851fc98fcd8	Unassigned	1.0
0bb5308d52f4bb04edb470b746bfa2f9	Unassigned	1.0
0bf46d5d8dd7aa9af036423d5ddcbad0	Unassigned	1.0
0cd45d635e6cd6f9792cb839e792d407	Unassigned	1.0
0cee016bbedd1f81b6b7a316ad8bdd11	Unassigned	1.0
0e9b1294dbed3d7a70089512dc858dbf	Unassigned	1.0
0f52f5b4fc6e6ecca9b67092e06cd5a6	Unassigned	1.0
0f6e546b2682e854b5abac9d988f0b9d	Unassigned	1.0
109a117f59089697b6e0b84251c5c172	Unassigned	1.0
126e1aa6fb5970933791e9415af894a8	Unassigned	1.0
131a0617390ac548fa87cd729b6944e2	Unassigned	1.0
1d7ee5e6ed83088dd275b1566332a1f2	Unassigned	1.0
1ebf01ae604be432ff9ffc80f88654b1	Unassigned	1.0
1ed6547a6ed9998ea1f04cc1b6aa579e	Unassigned	1.0
219a8db50edaab7c0a382d60aacf68c7	Unassigned	1.0
22b732b4b2040a2be4492c7783010ac1	Unassigned	1.0
23394eab20c073e4edc78b2e55485314	Unassigned	1.0
26657aefd252905d02f3c6067d2e61f1	Unassigned	1.0
268c0668894a9de447401e1373af7d4e	Unassigned	1.0
2742e98a846dd04d8adc08eee6562ca3	Unassigned	1.0
2b1f78585ac74780f57e18807a9e96cf	Unassigned	1.0
2b23bb34f4f807a759ba4893160f484c	Unassigned	1.0
2ca370a92f6c84a0cc5e613f07371ee8	Unassigned	1.0
2d955286cc6c1586b906276ffcd7fa97	Unassigned	1.0
2de91a59bb69c4a4fff065f9cbf23fb6	Unassigned	1.0
2f05b9b250f163ba6f89c9493dd7ad7f	Unassigned	1.0
2f2cfb522935c7c63518a8d855dae284	Unassigned	1.0
2f43e3fd8b2d0462bfe01dd3181dfd1b	Unassigned	1.0
305e6066f578f069cd31e54d4cf84d2f	Unassigned	1.0
319618e9919f7db7fba19510744a3c59	Unassigned	1.0
322585b49be0099f79563334c6d1e99a	Unassigned	1.0
33a85c719b0bf7b5b5e94771eec64096	Unassigned	1.0
33e74350f085c5464f0189a698e9e7d6	Unassigned	1.0
33fbd13d4612622d835c92fa58bf0f94	Unassigned	1.0
35439f5de6fe5b5690265c4ad10aa64a	Unassigned	1.0
357a98ea96cdc0da59b899f16b1a29ac	Unassigned	1.0
374b0cf5ed0b7f0b482679143fd26fea	Unassigned	1.0
37b1d3390b3757018914fab3d9cca693	Unassigned	1.0
388f7ddfebe47d9326425032ddfd8b85	Unassigned	1.0
3be4b5dc7213ee52ed26191687b863fb	Unassigned	1.0
3c23dd12d8cb1f5fafa91e5aa2c51167	Unassigned	1.0
