	atcc1	atcc2	atcc3	atcc4	atcc5
atcc1	0.0	0.0019484210293933245	0.00834745492683531	0.005283229957429816	0.0013260309103517649
atcc2	0.0019484210293933245	0.0	0.006806114205494947	0.007220334342916301	0.0032741906456009873
atcc3	0.00834745492683531	0.006806114205494947	0.0	0.0030642249749977548	0.0070377126605484725
atcc4	0.005283229957429816	0.007220334342916301	0.0030642249749977548	0.0	0.006602251505987668
atcc5	0.0013260309103517649	0.0032741906456009873	0.0070377126605484725	0.006602251505987668	0.0
