	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
Patient1-fresh	0.0	0.05242324137838096	0.2600538182254422	0.24608134760692438	0.23442352879297007	0.21119895425436383
Patient1-frozen	0.05242324137838096	0.0	0.2237351301368826	0.20845209834823517	0.23046467274864418	0.20910190597907763
Patient2-fresh	0.2600538182254422	0.2237351301368826	0.0	0.05651134364982361	0.22647980699648415	0.2207499025732835
Patient2-frozen	0.24608134760692438	0.20845209834823517	0.05651134364982361	0.0	0.18808682879474004	0.20308991387813766
Patient3-fresh	0.23442352879297007	0.23046467274864418	0.22647980699648415	0.18808682879474004	0.0	0.09128424851889304
Patient3-frozen	0.21119895425436383	0.20910190597907763	0.2207499025732835	0.20308991387813766	0.09128424851889304	0.0
