# Constructed from biom file
#OTU ID	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
AF542227	3885.0	3539.0	24122.0	18006.0	4874.0	1359.0
D14146	1540.0	1311.0	12613.0	6079.0	15066.0	18556.0
DQ174182	0.0	0.0	28033.0	9046.0	0.0	0.0
HG324078	21913.0	9648.0	0.0	0.0	0.0	0.0
JX029051	0.0	0.0	0.0	0.0	23365.0	7355.0
AJ576075	0.0	0.0	19550.0	4383.0	163.0	12.0
AJ510251	1616.0	1160.0	10092.0	8737.0	5958.0	4885.0
AB109772	0.0	0.0	605.0	510.0	19400.0	2282.0
JF342693	2858.0	4328.0	7139.0	5359.0	1723.0	287.0
AB640691	2680.0	2622.0	7482.0	4677.0	15035.0	2573.0
D14143	1250.0	490.0	0.0	0.0	9813.0	4705.0
ARKX01000002	0.0	0.0	4136.0	2722.0	3245.0	1278.0
KF148833	6155.0	4233.0	0.0	0.0	121.0	35.0
ACHM02000001	6893.0	6170.0	766.0	675.0	1891.0	2214.0
EU483154	2426.0	1629.0	807.0	916.0	2822.0	4019.0
KC311747	2455.0	2156.0	812.0	584.0	7331.0	1152.0
AB109770	2844.0	2931.0	5045.0	4081.0	0.0	0.0
AF338413	3853.0	3629.0	0.0	0.0	62.0	0.0
M23731	4362.0	2387.0	0.0	0.0	0.0	0.0
KF444244	2439.0	3928.0	19.0	5.0	0.0	0.0
X72865	2729.0	1505.0	561.0	401.0	234.0	167.0
AJ566849	3938.0	1635.0	0.0	0.0	0.0	0.0
DQ911243	0.0	0.0	0.0	0.0	3691.0	1728.0
AF542232	459.0	416.0	2206.0	2177.0	1945.0	132.0
AZJF01000012	92.0	34.0	0.0	0.0	3289.0	1104.0
AY169430	0.0	0.0	2570.0	1413.0	186.0	0.0
HE586272	683.0	255.0	1864.0	1181.0	78.0	0.0
FN401324	1385.0	1360.0	300.0	212.0	206.0	200.0
FR798912	0.0	0.0	2124.0	1423.0	967.0	787.0
AB006120	0.0	0.0	2083.0	1454.0	0.0	0.0
AB109771	0.0	0.0	107.0	125.0	3527.0	651.0
FN401326	0.0	0.0	0.0	0.0	951.0	2056.0
HQ455040	1065.0	616.0	454.0	166.0	309.0	307.0
EU156768	136.0	122.0	1130.0	924.0	511.0	69.0
JX101687	1753.0	923.0	0.0	0.0	0.0	0.0
DM464569	0.0	0.0	0.0	0.0	796.0	1668.0
AM084229	235.0	223.0	629.0	486.0	79.0	6.0
X82500	0.0	0.0	1413.0	443.0	0.0	0.0
KP233308	0.0	0.0	0.0	0.0	870.0	596.0
X75908	521.0	322.0	347.0	228.0	0.0	19.0
AB558167	0.0	0.0	147.0	92.0	741.0	404.0
AY033434	2094.0	613.0	120.0	63.0	129.0	180.0
